FID,the_geom,LAYER,ROAD_TYPE
roadsnew_lines.235,"MULTILINESTRING ((-61.320203749853476 15.552691143646161, -61.320433133038414 15.552697877371054, -61.32090023525602 15.552513368812148, -61.32124433863903 15.552012782137743, -61.32160933991323 15.551217615769948, -61.321692358992884 15.550976446005013, -61.32184652124008 15.550805335982147, -61.32204975807097 15.550734342792156, -61.322187988708485 15.550605426549575, -61.32242272024491 15.550495379904197, -61.3225827252666 15.550372674163162, -61.32277341736081 15.550310652344653, -61.32299523714725 15.550254912252814, -61.32309264355322 15.550161955049507, -61.323218329109274 15.550042010193534, -61.32329987785065 15.549982180037322, -61.32341525609552 15.54998003520553, -61.32352437454232 15.549980865226457, -61.32361407761013 15.550069200824826, -61.32363202535633 15.550163035692885, -61.323608880736984 15.55032607614682, -61.32350452966889 15.550506634061577, -61.3234342282466 15.550717676201316, -61.32343288268448 15.55088390496452, -61.32360303430392 15.551048415752893, -61.32389266118236 15.55108991146211, -61.324192594993 15.551013606573335, -61.32434265963751 15.550963364597362, -61.324536298470676 15.55092252136116, -61.32475460982637 15.550915113307761, -61.32512790121769 15.551020716449777, -61.32551039951176 15.551144524124856, -61.325772627585344 15.551104200915113, -61.32590732343914 15.551026638317982, -61.32605768092085 15.550940126991643, -61.32619220560045 15.550883720615913, -61.326411909042726 15.55070403720248, -61.32647482441822 15.550634996724924, -61.326596926904685 15.550572450684115, -61.32670655859021 15.55050980988878, -61.32689391254847 15.550474961844072, -61.32699679608475 15.550475742837538, -61.32711202830672 15.550491730174533, -61.32716616939996 15.55073696622819, -61.32721751022926 15.550942888101934, -61.327283219143595 15.551300045634305, -61.327275567990704 15.551475294431453, -61.32729047301227 15.551560038461522, -61.32727273812058 15.551729165654125, -61.32745037393776 15.55173958145465, -61.32763999403404 15.551713817664485, -61.3278040211667 15.551671991219491, -61.32799417187891 15.551580491045312, -61.3280739477431 15.551547092772928, -61.3282399836178 15.551546085423267, -61.328408559025554 15.551520161307366, -61.32857032080271 15.551469249478437, -61.32887921094293 15.551442122206861, -61.32900547781981 15.551443079613083, -61.32917597079297 15.551469308156017, -61.32931319768191 15.551561024525443, -61.32937981922918 15.551708878136672, -61.32945314487634 15.551895319874559, -61.32969357333788 15.551959281479668, -61.32985235717887 15.551987687699167, -61.3301114195851 15.551953380423763, -61.330304717628785 15.551954845019742, -61.33047619171694 15.551956144116353, -61.330637947263774 15.55200270751044, -61.330865394089244 15.552022565512122, -61.33105245684649 15.552023982232042, -61.331361110437854 15.552026319473141, -61.3318069434953 15.552029694725709, -61.33192853434806 15.55203061509277, -61.332093748871756 15.552034888094818, -61.33218097186519 15.552044615827674, -61.332482708858244 15.552131530245557, -61.33256661953932 15.552165413080083, -61.33275017557244 15.552215162465336, -61.33285271966532 15.552258253785434, -61.33302344008062 15.552353243947904, -61.33321103848472 15.552288167036638, -61.333261481455615 15.552219030132331, -61.33339637032481 15.55211728390885, -61.33345290270057 15.552066328242429, -61.333528092709194 15.552021558726123, -61.33360004337882 15.551991877389051, -61.33363745597548 15.551992160281063, -61.333721634320774 15.55199279676489, -61.33396747199705 15.55205208367028, -61.33421019212188 15.552111346748683, -61.33437207044993 15.55214279570586, -61.334499653912935 15.552173985367897, -61.33458344349874 15.552222979258119, -61.33462781151853 15.5522116885366, -61.33470310080757 15.552172728299071, -61.334806236668186 15.552105925477788, -61.334922648357356 15.552023921288036, -61.33499501777955 15.551930013616937, -61.33500178776666 15.551863568833864, -61.33492786162192 15.55175117624065, -61.3349284933849 15.551672594914727, -61.33498509818446 15.551612571727778, -61.335085618175896 15.551519632319515, -61.335207816285994 15.551444991869207, -61.335345578569154 15.55137349144693, -61.335524041005016 15.551281140517235, -61.33565534908445 15.55123679402561, -61.335886399483535 15.551196223147606, -61.33609891353392 15.551134354266322, -61.33625513880728 15.551093218058314, -61.33659272503554 15.550986954647662, -61.33667402811212 15.550957342817531, -61.336767850530535 15.550921780344828, -61.33676392665402 15.55099788108203, -61.33682279903017 15.551043663540414, -61.33694022837436 15.551174519122355, -61.3370081870291 15.551253618099912, -61.33706287407972 15.551432360911152, -61.33706197619802 15.55154418830664, -61.3371986009069 15.551714900302555))",Unknown Line Type,Tertiary_road
roadsnew_lines.236,"MULTILINESTRING ((-61.310679253926125 15.544113420957117, -61.31097313202756 15.544111942219454, -61.31126709418345 15.544002361020894, -61.31147975325 15.54392238189864, -61.311576225212775 15.543944278285949, -61.31169132868899 15.543975384842655, -61.31184109471819 15.543961419045415, -61.312234965921206 15.543834466356655, -61.3126191148718 15.543752776231374, -61.31287349718657 15.543687802530574, -61.31298399642 15.543686097787681, -61.31309284828594 15.5437251843408, -61.31316626189781 15.543755073856103, -61.3131686224766 15.543788245130795, -61.31312316801878 15.543878431147434, -61.313118630710825 15.543951078478356, -61.31319463333063 15.543986088294222, -61.313265437362624 15.544013407573381, -61.31332969643874 15.544036851391429))",Unknown Line Type,Tertiary_road
roadsnew_lines.237,"MULTILINESTRING ((-61.313422642502154 15.54195596308208, -61.31353027531173 15.542053135843352, -61.31364368699575 15.542178327810563, -61.31366374792992 15.542258814048546, -61.31354822728853 15.542392774914648, -61.313442702895216 15.542510554334614, -61.31336426286529 15.54257307297925, -61.31328934241806 15.542566761827375, -61.31321321973718 15.542465763511048, -61.31308237389424 15.54225864037025))",Unknown Line Type,Tertiary_road
roadsnew_lines.238,"MULTILINESTRING ((-61.315888845356604 15.532863708082129, -61.31605063135133 15.533096165932069, -61.31609630640662 15.533230261150267, -61.316111439526544 15.533382258379591, -61.31612182291245 15.533543286920207, -61.316297582786206 15.533782651982301, -61.316462057618224 15.533972059201007, -61.31665157059072 15.534245532373788, -61.31677600450569 15.534470904140125, -61.316882506902544 15.53460092958373, -61.316977797445496 15.53467193025579, -61.317056739943894 15.534740539281627, -61.31720317388649 15.534848200310256, -61.31732849172267 15.534964767754213, -61.31756981229201 15.535193297633779, -61.31767648108155 15.535302922001192, -61.31780174428713 15.535426289482572, -61.317896686123774 15.535540358119393, -61.31791204124917 15.5356651543123, -61.317899320966646 15.535792003306316, -61.317863961628774 15.535916188872662, -61.317791664607476 15.536117139096717, -61.31782743921144 15.536318913482303, -61.31766386003495 15.536499017325163, -61.31757601528256 15.536566857836199, -61.31737993501415 15.53665402282501, -61.31736645127247 15.536778850903385, -61.31749376924735 15.536969233539994, -61.3176209893377 15.53717170546649, -61.317840145966606 15.537314428058027, -61.31801056768837 15.53731572772602, -61.31826480848413 15.537233035704325, -61.318402467474506 15.537173634778682, -61.31852785262836 15.537089959998747, -61.318742175812154 15.537145327523886, -61.318867026994575 15.537554655803131, -61.319018778506965 15.537679735915612, -61.3190672367539 15.537855411661763, -61.31909394620693 15.538021854077343, -61.31910806321196 15.538203313145251, -61.3191567911844 15.538345743166541, -61.319224199650236 15.538491338067562, -61.31922285182416 15.538657566654646, -61.31906128628828 15.538973700386535, -61.318922768302585 15.539138883421375, -61.31860439112243 15.53918481675173, -61.31845737827839 15.539244146357262, -61.318235251076615 15.539339173351376, -61.31816836123017 15.539513969599751, -61.318085761103184 15.539703758615472, -61.318000411189 15.539848188769621, -61.31793257793215 15.53995515383675))",Unknown Line Type,Secondary_road
roadsnew_lines.239,"MULTILINESTRING ((-61.315888845356604 15.532863708082129, -61.315707433569344 15.532662160974317, -61.31560644654604 15.532572981247041, -61.31551056831004 15.532502542336793, -61.3154251008628 15.532445784226097, -61.315341980853255 15.532315936782279, -61.3152138906427 15.532109238355895, -61.31508577304913 15.531905940001788, -61.31494510473929 15.531736549098397, -61.31481254119945 15.531648828081233, -61.31460311278618 15.531524816337706, -61.3144236327167 15.531384031532534, -61.314299975436796 15.53127937660912, -61.31420251056087 15.531188523087105, -61.314108566632555 15.531095996264497, -61.314073014106725 15.530939309218827, -61.314113498604776 15.530776906234914))",Unknown Line Type,Secondary_road
roadsnew_lines.240,"MULTILINESTRING ((-61.31407668402799 15.530924587395502, -61.31393833854689 15.530967686739254, -61.31382397274784 15.531014417467413, -61.31367199505486 15.53115777019762, -61.31355400930177 15.53143399563494, -61.31331515954992 15.531956891687006, -61.31320880018635 15.532097192395703, -61.31313776018571 15.532207160084546, -61.31318261906253 15.532297611879063, -61.31327329102974 15.532361211253622, -61.313381401584316 15.532436845074312, -61.31353894294464 15.532472052700042, -61.31362290512243 15.532498196988048, -61.31371702909502 15.53256862325254, -61.31399981606617 15.532728899998318))",Unknown Line Type,Tertiary_road
roadsnew_lines.241,"MULTILINESTRING ((-61.31313776018571 15.532207160084546, -61.313006712837215 15.532364273574915, -61.312847885396486 15.532487171207608, -61.312803092723996 15.532604140134998, -61.312703622303246 15.532759794706907, -61.31259882195196 15.532923909282573, -61.31240840008296 15.533099479916691, -61.31226053110851 15.533168622280261, -61.312166160442686 15.533272177142553, -61.31217455324625 15.533390119498561, -61.31216626602604 15.533546471327655, -61.31216072274817 15.53365297262455, -61.312138813068024 15.533759348703345, -61.31206010727154 15.533949165049002, -61.311974534760914 15.534120793711143, -61.31192191640557 15.534265471850905, -61.31195098253807 15.534428910130826, -61.31198901343781 15.534640021633956, -61.31204053765337 15.534916976105817, -61.31210325409464 15.535255222160675, -61.3121804235552 15.535541440393006, -61.3122281023286 15.535716355504064, -61.312259433060156 15.535888878640113, -61.31228393410491 15.53603868064828, -61.31231596607866 15.536125067437952, -61.3122613967174 15.5362221260559, -61.31216672923897 15.536361948683398, -61.31203764719684 15.536580373168995, -61.31198095716992 15.53673576680275, -61.311780827686896 15.536809462186502, -61.31124830100529 15.536864492620458, -61.31093489837935 15.53690608727116, -61.310733896545386 15.536895480422908, -61.310570618199954 15.536846625286392, -61.31039669442422 15.536956370439883, -61.310215774676344 15.537063794956943, -61.31004305161604 15.53702620149568, -61.309916794754535 15.53702523410256, -61.30976895914771 15.537089840924336, -61.30939565956096 15.536989503970803, -61.30909631025237 15.536996276868383, -61.30866376390857 15.536992960501358, -61.308448844771945 15.536968643553887))",Unknown Line Type,Tertiary_road
roadsnew_lines.295,"MULTILINESTRING ((-61.31559958365815 15.532567939288686, -61.31566804224296 15.532403413961203, -61.31573188743909 15.532315492606074, -61.315786771622086 15.53225130518022, -61.315858845934095 15.532229753168039, -61.315922138766766 15.532209834270406, -61.315996008001825 15.532183195405478, -61.316075096402564 15.532161696854336, -61.31617533760006 15.532126758358965, -61.3162827309204 15.532074872706644, -61.31636724547646 15.532033013425561, -61.316481542423276 15.531994781699948, -61.31660289485579 15.531951503235934))",Unknown Line Type,Tertiary_road
roadsnew_lines.242,"MULTILINESTRING ((-61.30862214320113 15.53636244780732, -61.30888545885415 15.536473277156768, -61.309123111353756 15.53657710883813, -61.30925369282535 15.536621180603657, -61.309385087680184 15.536565515634246, -61.30940889365812 15.536513559762923, -61.30951606660408 15.536274091436129, -61.30955686746526 15.536145191721827, -61.309525317221556 15.535999869337452, -61.3094938039766 15.535850013465888, -61.30947826915669 15.53574788461789, -61.30947435078664 15.535654912332785, -61.30955110970194 15.535417477722941, -61.309600541853705 15.535377052612235, -61.30975235016286 15.535398617842787, -61.30990633028991 15.535440601574361, -61.3101262014526 15.53543095163432, -61.3102482799997 15.5353706809136, -61.31032819931021 15.535319154733504, -61.31038499648247 15.535235715024136, -61.310439714134034 15.53512052297293, -61.31044949124396 15.535068459493697, -61.31047943564801 15.535038290535338))",Unknown Line Type,Tertiary_road
roadsnew_lines.243,"MULTILINESTRING ((-61.30863660357661 15.536368534178722, -61.308591016152256 15.536318587363207, -61.3085380962838 15.536181412940808, -61.308461919869885 15.536060683977825, -61.30838134480823 15.535905918015803, -61.308312404740356 15.535758041912965, -61.30828724079289 15.535689842434204))",Unknown Line Type,Tertiary_road
roadsnew_lines.244,"MULTILINESTRING ((-61.308591016152256 15.536318587363207, -61.308499044400904 15.5362928991546, -61.30838091838668 15.53626266547439, -61.30830089397214 15.536273244485935, -61.30821128857564 15.536365499447866, -61.308123854696866 15.536478172966424, -61.30806713027784 15.536552544996331, -61.307959041988944 15.536617455466033, -61.30786770874599 15.536634889881524, -61.30774854052362 15.536624908119457, -61.30764158083231 15.536551547261126, -61.307557872498016 15.536494232938152, -61.30748990160123 15.536514113336024, -61.307309536226185 15.536553533162703, -61.3071669132623 15.536552438626885, -61.30696405552908 15.536482875222774, -61.30673547907815 15.536413114214493, -61.30668435607128 15.536374184777543, -61.30647195644414 15.536327804220784, -61.306278675347585 15.536326320180509, -61.30606956014989 15.536354939449367, -61.30587890256949 15.536413925351036, -61.30556619548454 15.536529401173004, -61.305465177584736 15.536682772984571, -61.30544199679073 15.536848832766234, -61.30542846473564 15.536978696589447, -61.30544484720132 15.537262938071436, -61.30549319474661 15.53745070491946, -61.30554075183841 15.537735185900221, -61.30562059527555 15.53788390211414, -61.3056438057481 15.538095655887474, -61.305698956681155 15.538213957324531, -61.305716951694244 15.538381397635876))",Unknown Line Type,Tertiary_road
roadsnew_lines.245,"MULTILINESTRING ((-61.30863660357661 15.536368534178722, -61.308662949042215 15.536472670859819, -61.30860323946366 15.5366263610692, -61.308534103467835 15.53678904649802, -61.308448844771945 15.536968643553887, -61.30840514648142 15.537119022459535, -61.308428941902406 15.537354960777778, -61.30843180547563 15.53757713726335, -61.30846120192277 15.537699774390008, -61.308561240680824 15.5377617474342, -61.30864958901448 15.537823630790541, -61.30876148482153 15.537865292731162, -61.30875866590562 15.53792421007752, -61.30873675383082 15.538030585559868, -61.30867295934645 15.538111704151504, -61.308600145316085 15.538151949657044, -61.30854360549052 15.538203654359846, -61.308463166708165 15.538318648470584, -61.30842908297213 15.538483869499357, -61.308390489437095 15.538628653981599, -61.308347682086485 15.538716734064915, -61.30824671799125 15.538768097917991, -61.308099176702996 15.538796435588026, -61.30793220889507 15.538913032515486, -61.30783801838663 15.538993917596864, -61.30776488930484 15.539072697355355, -61.30770812694548 15.53915160267217, -61.30767467163595 15.53923975434588, -61.30761809426451 15.539295992233209, -61.30753833931873 15.539327116536386, -61.30745422277915 15.539319670348407, -61.30737459737515 15.539334927412927, -61.30729261533851 15.539352433241051, -61.307036724270695 15.539477414388067, -61.30688899723282 15.539528418567647, -61.306800148883944 15.539527736439949, -61.306661996442735 15.539551611400036, -61.30661003940405 15.539614685112028, -61.30649223194407 15.539795035577873, -61.30629898435856 15.540043412097987, -61.30626477613796 15.540160019640465, -61.306176597136506 15.54026815262259, -61.306025508195155 15.540444312473015, -61.305950292994766 15.540492094793148, -61.30555709564309 15.54079132451794, -61.30539449127796 15.540850525144124, -61.30524841466525 15.5409219426842, -61.304982156955084 15.540948106300116, -61.30465024949481 15.540868984721023, -61.304425789326274 15.540867258959215, -61.30409744543722 15.540860704070889, -61.30386011959814 15.540907238846513, -61.30373482587374 15.540978815182955, -61.30363054630674 15.541022343066563, -61.30355928918096 15.541094334970335, -61.30369847219959 15.541357355946628, -61.30369698797744 15.54153869471932, -61.30368131852016 15.541929484577524, -61.30365472914345 15.542130780225364, -61.303632593264986 15.54229584008945, -61.30363595829972 15.542392586069065, -61.303667562606506 15.54259432939848, -61.30367320413873 15.54292080310339, -61.30375435921333 15.543163227669591, -61.30375336964589 15.543284120168826))",Unknown Line Type,Tertiary_road
roadsnew_lines.246,"MULTILINESTRING ((-61.30424300792562 15.541487229917324, -61.3041983488439 15.541610809135975, -61.30412001532261 15.541658566767316, -61.30391700593994 15.541702342931098, -61.30369195849677 15.54166412828672))",Unknown Line Type,Tertiary_road
roadsnew_lines.247,"MULTILINESTRING ((-61.30355928918096 15.541094334970335, -61.30344118902318 15.541175789593474, -61.30339601000135 15.541362837173027, -61.30339175438616 15.541501839557734, -61.303372331809996 15.541589342698416, -61.3031244647047 15.541780875592178, -61.303056423834505 15.541713856936372, -61.303022329174055 15.541689414537357, -61.30290648624468 15.541748973050346, -61.302489653844596 15.54201476721926, -61.302389026826894 15.54211978008274, -61.30222602456574 15.542227335135678, -61.30207554174812 15.542328941453992, -61.30184397846299 15.542432945735664, -61.3015350218474 15.542469858614572, -61.30135380923884 15.54251682268462, -61.30119756151743 15.542560956439436, -61.30083798090986 15.542688153247548, -61.30056601282247 15.542776732225638, -61.30029087743053 15.542871331426447, -61.300212443487254 15.542931176753791, -61.30014447161249 15.54309013197197))",Unknown Line Type,Secondary_road
roadsnew_lines.248,"MULTILINESTRING ((-61.30209728058011 15.542314263361662, -61.3021576934366 15.542449466567335, -61.302168455604075 15.54256289321749, -61.30210398858232 15.542725611850708, -61.302031634083576 15.542994812858444, -61.30201634222038 15.543148842623472, -61.30196631238794 15.543261801105139, -61.30185549054875 15.543374291370613, -61.30176186910647 15.543670530927555, -61.301627848414626 15.544045799835791, -61.30156478957863 15.544321872791562, -61.30153793641085 15.544459945279026))",Unknown Line Type,Tertiary_road
roadsnew_lines.249,"MULTILINESTRING ((-61.30303588208855 15.541699130597948, -61.303076203071114 15.541606280030848, -61.303089044307534 15.541561041314967, -61.30307115587245 15.541461161079669, -61.30295269053887 15.541460249407486, -61.30285226202903 15.541541084045692, -61.30255104266091 15.541751662975576, -61.30244513036142 15.541835855498732, -61.302355125729605 15.541904869021527, -61.30221762057706 15.5419922185007, -61.302076608107605 15.54207954087563, -61.301888262156325 15.542164798477257, -61.301795153996515 15.542184483300224, -61.301704133785805 15.542163380409422, -61.301632779400514 15.542096524732553, -61.30162783903155 15.542057383084005, -61.301654853594265 15.541970883178186, -61.301688687494476 15.54190823797843, -61.30182443917476 15.541820875340496, -61.30204016130639 15.541604916499484))",Unknown Line Type,Tertiary_road
roadsnew_lines.250,"MULTILINESTRING ((-61.30307115587245 15.541461161079669, -61.303070387538796 15.541293217380634, -61.30306582272592 15.541208174373674, -61.303030124699156 15.54107018689947, -61.303013410013136 15.54096974897523, -61.30303175329256 15.540871280993548, -61.30306482124803 15.540687918434182, -61.30305127968049 15.540628308712114, -61.30295124592562 15.540623970683878, -61.30281135458335 15.54057453405805, -61.302715083484955 15.540528455584075, -61.302712832232764 15.540422650684045, -61.30271691495705 15.540304804524395, -61.302730622376046 15.54015378491474, -61.302730993609984 15.540108450238959, -61.3026975179693 15.54000845002426, -61.30269209972041 15.539908665750664, -61.30281190050286 15.539746372630036, -61.30289085215162 15.539623057611102, -61.30296965523514 15.539517876426745, -61.302988508577016 15.53949988648649, -61.303035914093975 15.539421666190975, -61.30306466419632 15.539337257332358, -61.30300325491324 15.53922192970444, -61.30298848407579 15.539122073454527, -61.30298009665221 15.539004131306092, -61.30297779571153 15.538904371007819, -61.30297836480548 15.538834857821415, -61.30299457072321 15.538759419947931, -61.30308576902572 15.538663401563323, -61.303139384474264 15.538588251501778, -61.30321474791825 15.538522336251171, -61.30328375269629 15.538471484568909, -61.30335651806411 15.538342076700713, -61.303369754747024 15.53824848091767, -61.30337047210231 15.538160833833414, -61.30338036867609 15.538094414884938, -61.30339350637779 15.538012908349158, -61.30340035968212 15.537937398476668, -61.303423047605385 15.537831785369992, -61.303476860565524 15.537732456678889, -61.30352708608772 15.537690527949588, -61.303614918873805 15.537624708425001, -61.3037961514994 15.53757471968249, -61.30384917290609 15.537572104927598, -61.30388957613936 15.537587528153118, -61.303992254246666 15.537612497758202, -61.30404485533041 15.537661262302796, -61.30411581501782 15.537752483062414, -61.30422017674019 15.537952770792856, -61.304352546355766 15.538159318829095, -61.30455978481315 15.538360397347454, -61.30464944974865 15.538451761765455, -61.30479844551475 15.53853149217362, -61.30491032834963 15.5385746671852, -61.305260847937085 15.538791958850057, -61.30527940451361 15.538810236479264))",Unknown Line Type,Tertiary_road
roadsnew_lines.251,"MULTILINESTRING ((-61.30464944974865 15.538451761765455, -61.30468280260224 15.538566873342328, -61.304716180204196 15.538678962601482, -61.304739933530314 15.538824225437098, -61.30477966972339 15.538921251041291, -61.30486901367481 15.53905190549929, -61.30499848951506 15.539231228461434))",Unknown Line Type,Tertiary_road
roadsnew_lines.252,"MULTILINESTRING ((-61.30340035968212 15.537937398476668, -61.30336816195701 15.537681245490273, -61.30338313825592 15.537375080315922))",Unknown Line Type,Tertiary_road
roadsnew_lines.253,"MULTILINESTRING ((-61.30338313825592 15.537375080315922, -61.30337801597375 15.537266860466923, -61.30337893424597 15.53715465707694, -61.30345922189524 15.536986958955216, -61.303464106328484 15.536818680833703, -61.303468907267536 15.536660603018012, -61.303471592922335 15.536546713052362, -61.303461864553384 15.536449729189936, -61.30342925649035 15.536362770299961, -61.30343035553313 15.53622846622755, -61.30351858972078 15.536161138514265, -61.30359301798817 15.536066502044413, -61.303623593454496 15.535973228456884, -61.30369675487542 15.535819076638624, -61.303755456605494 15.535717518518767, -61.30380701890058 15.535631206909084, -61.30390289687647 15.535312251274624, -61.30402878024061 15.535168138896537, -61.30420925889359 15.534955936006748, -61.304247755443924 15.534823241696197, -61.304307527242095 15.534541128364946, -61.30435784983049 15.53439190113825, -61.30438667109719 15.53429861389384, -61.30443517050649 15.534157873420543, -61.30445085944674 15.534084593301728, -61.30444953543827 15.534084396867293))",Unknown Line Type,Tertiary_road
roadsnew_lines.254,"MULTILINESTRING ((-61.298525259556435 15.53854736212821, -61.29888071842233 15.538826662625176, -61.29909726864978 15.538937142740414, -61.299248203542106 15.539065251654396, -61.29940348008235 15.53923419768171, -61.299639753762186 15.539505777443322, -61.2997857342929 15.539667850959615, -61.29992728052531 15.53980042085403, -61.299943791553055 15.540068039251981, -61.299879230873344 15.540242090824341, -61.29979585357945 15.540429598535164, -61.299570775673516 15.540788295974293, -61.29941817877888 15.541147552075579))",Unknown Line Type,Tertiary_road
roadsnew_lines.255,"MULTILINESTRING ((-61.29995395261724 15.539779468976331, -61.30047712847707 15.539679365127247, -61.30103890628927 15.539606619942804, -61.3013434176757 15.539540959371243, -61.30178778823127 15.539528513514131, -61.30205375697778 15.53960083457267, -61.30242071024692 15.539619527651583, -61.30274880668397 15.539529110998865, -61.302988508577016 15.53949988648649))",Unknown Line Type,Tertiary_road
roadsnew_lines.256,"MULTILINESTRING ((-61.29941817877888 15.541147552075579, -61.29916870934568 15.54159453148324, -61.299003740691255 15.541952096519331, -61.2989231099386 15.542152974283312, -61.29902428176158 15.542488244384309, -61.29909725000612 15.542714487018713, -61.29914458362055 15.543025161804183, -61.2991192134337 15.543077356039749, -61.29905250773707 15.543101021429047, -61.298791131712335 15.54303855499574, -61.298555093103374 15.542927923852552, -61.29849996825718 15.542933417525415, -61.29835974416601 15.543138054001933, -61.298258601805294 15.543281786468874, -61.298159534031875 15.543386431355774, -61.298097934266295 15.543413158341506, -61.29790392582738 15.54333345367794, -61.29776053481004 15.543283042250708, -61.297607675877735 15.543230794512986, -61.297549879322254 15.543181988347207, -61.297521808716965 15.543056841836176, -61.29736820953541 15.543031475841573, -61.29729817477771 15.542954365170415, -61.297328298052335 15.542829668027881, -61.29734113233545 15.542785437219278, -61.29732510153599 15.542712773566775, -61.29692312787023 15.5425605594484, -61.29663744263188 15.542421332985633, -61.29653375740805 15.542392322051471, -61.296486874515494 15.54253300953466, -61.29643192248234 15.542643913475837, -61.2963752854346 15.542706948239136, -61.29624908191854 15.542699172500548, -61.296003763902235 15.542674608115831, -61.29592003832567 15.542619556203439, -61.29585586185602 15.542573645348249, -61.295761377084915 15.542547412809915, -61.29568641063288 15.542546833375948, -61.295627079785014 15.542564226368668, -61.29557275805149 15.54261226079532, -61.29554595065515 15.542673259033918, -61.29551658624767 15.542725311705006, -61.29548067727564 15.542773488437138, -61.2953502624999 15.54279798250646, -61.295193763928474 15.54279549743892, -61.29506884071096 15.542791981300228, -61.29496625495664 15.542791188049906, -61.29487404394687 15.542808326569164, -61.2947933969602 15.542858707426022, -61.29466271977859 15.542915076876719, -61.294543963304115 15.542961337542259, -61.29448626228344 15.542940489419921, -61.294424237883504 15.542965511911904, -61.29435818390595 15.543000704117969, -61.29427592309841 15.54302790011603))",Unknown Line Type,Tertiary_road
roadsnew_lines.257,"MULTILINESTRING ((-61.298525259556435 15.53854736212821, -61.298315271879275 15.538387753905921, -61.29818810134724 15.538308187759561, -61.298056035956094 15.538065368971417, -61.2979253356764 15.537656323365795, -61.297850005241514 15.537338379914836, -61.297646537586886 15.537058739968284, -61.29744559220082 15.536851659248578, -61.297280840028826 15.536792960066059, -61.29716658741955 15.53665908824763, -61.29686456944593 15.536611419014816, -61.29663207303953 15.53653986195268, -61.29663147641189 15.536555398638399))",Unknown Line Type,Tertiary_road
roadsnew_lines.258,"MULTILINESTRING ((-61.298299358033624 15.538332470556046, -61.2984127027784 15.538197332700587, -61.29848871238965 15.538052839254625, -61.29855861102068 15.53789318614337, -61.29860920953846 15.537805924050948, -61.29867116160513 15.537854761899276, -61.29870805009579 15.537918518889581, -61.29871645989594 15.538033438657596, -61.29884922055243 15.538191632554783, -61.298955015547115 15.538216628519287, -61.299045471297305 15.53821128115875, -61.299096094512485 15.538120996637652, -61.299144220170476 15.537955130392493, -61.29918925308764 15.537786217780086, -61.29920244197157 15.53769866704146, -61.29924356386557 15.53762644418612, -61.29935381496149 15.537488259392205, -61.299360149022235 15.537476218237735, -61.299445038960656 15.53738922030895, -61.299470870998775 15.537280609528072, -61.299493486400785 15.53718406393554))",Unknown Line Type,Tertiary_road
roadsnew_lines.703,"MULTILINESTRING ((-61.38271944132396 15.325143940373358, -61.38310077626885 15.324964753791026))",Unknown Line Type,Tertiary_road
roadsnew_lines.259,"MULTILINESTRING ((-61.30125364223509 15.539560317339353, -61.30117598339492 15.539200947027679, -61.30114893466444 15.538950878642396, -61.30110529251868 15.538696652433918, -61.301107142013585 15.53847098665147, -61.30110014984074 15.538309732767662, -61.30101807450652 15.538180140514301, -61.30096123615743 15.538014472648355, -61.30090216651015 15.537899162589625, -61.300865816103766 15.537769670669126, -61.300894653459714 15.537674684063797, -61.301023545447684 15.537639406953284, -61.30106796908361 15.537639749144383, -61.30139311167066 15.53762411840878, -61.30164564358462 15.537623796218172, -61.30183269052666 15.537625236433566, -61.30206878162145 15.537633854679765, -61.30232631661296 15.537667685319784, -61.30247305953572 15.537641612245098, -61.30258612914761 15.537539717359126, -61.30265872131933 15.537431465908062, -61.302883276530984 15.53742110384523, -61.30313289502151 15.537395821855942, -61.30338313825592 15.537375080315922))",Unknown Line Type,Tertiary_road
roadsnew_lines.260,"MULTILINESTRING ((-61.30612651408444 15.53902906825072, -61.30609435224183 15.539101928117987, -61.306078097649916 15.53915960871697, -61.30610580764481 15.539202325553184, -61.306161630544686 15.539238457666434, -61.306235155996816 15.53925432380201, -61.30626659546726 15.539269866700028, -61.306268001763414 15.539312381507338, -61.30624288203364 15.539381895157874, -61.30621258488347 15.539441168078358, -61.30615610897315 15.539484938485552, -61.30602783330504 15.53951625626287, -61.30594522029156 15.539539423925461, -61.30585205796096 15.539565910836032, -61.305829205771516 15.539572535924929, -61.30578146988835 15.539619773685995, -61.30577238235518 15.539658807549356, -61.305760790844275 15.539789630806332, -61.305775725470056 15.5398934552904, -61.30581700562573 15.539992381690498, -61.30583945488882 15.540035058147872, -61.305886496100875 15.540072823041456, -61.305993312228495 15.540092345339561, -61.30615105196099 15.540103757929453, -61.306270993477725 15.540138826246531))",Unknown Line Type,Tertiary_road
