FID,the_geom,LAYER,ROAD_TYPE
roadsnew_lines.11,"MULTILINESTRING ((-61.283394116532136 15.540244733348395, -61.28332684260159 15.540284910819862, -61.28323847408639 15.540367529886268, -61.28315881703233 15.540457017301824, -61.283086469936435 15.540510858603175, -61.283028292218475 15.540547808775676, -61.28300170696001 15.54058160463008))",Unknown Line Type,Tertiary_road
roadsnew_lines.12,"MULTILINESTRING ((-61.28347393153169 15.53971626379471, -61.28332436217725 15.539737445559474, -61.283090504218656 15.539812131442645, -61.28294612027844 15.53988241329956))",Unknown Line Type,Tertiary_road
roadsnew_lines.13,"MULTILINESTRING ((-61.28323847408639 15.540367529886268, -61.283153754955556 15.540274212570287, -61.282982459540385 15.540153018883624))",Unknown Line Type,Tertiary_road
roadsnew_lines.14,"MULTILINESTRING ((-61.282801271329895 15.540594171174327, -61.28274170814473 15.540477571571133, -61.28268843024388 15.54039937517397, -61.28263784612493 15.540313549105736, -61.282571458789725 15.540230150169291, -61.28253224647621 15.540200517334103))",Unknown Line Type,Tertiary_road
roadsnew_lines.15,"MULTILINESTRING ((-61.28232093577022 15.540692303865379, -61.28227882295901 15.540625704153086, -61.28227414343113 15.54055553685229, -61.282269590708296 15.54047006926252, -61.28227447670328 15.540356622853091, -61.2822789294463 15.540295452429758, -61.282280413692966 15.5402750622885))",Unknown Line Type,Tertiary_road
roadsnew_lines.16,"MULTILINESTRING ((-61.2822739153998 15.54036965559958, -61.28220467717825 15.540367555110482, -61.28212452531154 15.540358004999927, -61.28204304770943 15.540349719639218, -61.282010133365276 15.540312972161724, -61.28200644147806 15.540282340850359, -61.281958065284215 15.540247536103795, -61.281888625143694 15.5402151174527))",Unknown Line Type,Tertiary_road
roadsnew_lines.17,"MULTILINESTRING ((-61.283889784490746 15.538837472288806, -61.283969263683524 15.538883658893791, -61.283970538728944 15.538941473688931, -61.28391906621736 15.53901587948306, -61.28390628460848 15.539076985184497, -61.28394775080298 15.539152114147523, -61.28401567527344 15.539208747398542, -61.28413985451966 15.539248816885582, -61.28423628639717 15.539251267279537, -61.284359654922035 15.53917742071972, -61.2845460953104 15.539110865265583, -61.28480621331213 15.539041482372816, -61.28489946153736 15.539004804395006, -61.28493467342507 15.53898807678614))",Unknown Line Type,Tertiary_road
roadsnew_lines.18,"MULTILINESTRING ((-61.28453905072338 15.539565273903639, -61.28451666838219 15.539488068274457, -61.284520935288896 15.53939629370552, -61.28456028752726 15.539303091903795, -61.2846592186558 15.539215453932403, -61.28481823503458 15.539072178459683, -61.28490807461405 15.53902357296142, -61.28493467342507 15.53898807678614, -61.284977335589296 15.538918702639762, -61.28494646072745 15.538835155481657, -61.28486647216448 15.538752926522777, -61.284690516261044 15.53861214627443, -61.28459310486381 15.538516180574312, -61.28454786410549 15.538473325093316, -61.284511588112935 15.538406737321438, -61.284412441745616 15.538202586413156, -61.28438666438428 15.538099102164647, -61.28435200177074 15.537996505129094, -61.28436540236313 15.537926797214777, -61.28438842133179 15.537886810373745, -61.28451786564593 15.537860083631797, -61.28454282566943 15.537823937192307, -61.28453238706987 15.537774126791806, -61.284473893226206 15.537690471033374, -61.284435614658776 15.537667221352699))",Unknown Line Type,Tertiary_road
roadsnew_lines.19,"MULTILINESTRING ((-61.28931165055343 15.539902179447894, -61.28933719091228 15.539780598284674, -61.28939834164965 15.539595756554847, -61.28945369843467 15.539475475459705, -61.28951343203025 15.53946233758429, -61.28961158983615 15.539468199321309, -61.28971709858729 15.539433314478464))",Unknown Line Type,Tertiary_road
roadsnew_lines.20,"MULTILINESTRING ((-61.28855279838598 15.538676987495796, -61.28865644361245 15.538569128924623, -61.288806330323744 15.538540067086586, -61.289024950394634 15.53849340347077, -61.28921860591792 15.538449568466238, -61.2894652828087 15.538403122027754, -61.289571275797435 15.538403944061153, -61.28972368131066 15.538447440750057, -61.289791741402524 15.538511440707744))",Unknown Line Type,Tertiary_road
