FID,the_geom,LAYER,BUILDING_M,BUILDING_U,BUILDING_A
building_map_dom_points.109,POINT (-61.453949212515234 15.588162647947026),Unknown Point Feature,B__109,Unknown,?
building_map_dom_points.110,POINT (-61.45305302241004 15.58789960691387),Unknown Point Feature,B__110,Unknown,?
building_map_dom_points.111,POINT (-61.453306873886504 15.587967702423992),Unknown Point Feature,B__111,Unknown,?
building_map_dom_points.112,POINT (-61.45385681803851 15.587850850815473),Unknown Point Feature,B__112,Unknown,?
building_map_dom_points.113,POINT (-61.45328095065638 15.587212604776441),Unknown Point Feature,B__113,Unknown,?
building_map_dom_points.114,POINT (-61.453599918219645 15.587486889266328),Unknown Point Feature,B__114,Unknown,?
building_map_dom_points.115,POINT (-61.4536203332959 15.587337409923043),Unknown Point Feature,B__115,Unknown,?
building_map_dom_points.116,POINT (-61.453791131689336 15.58725189746117),Unknown Point Feature,B__116,Unknown,?
building_map_dom_points.117,POINT (-61.453626868083866 15.58716742986294),Unknown Point Feature,B__117,Unknown,?
building_map_dom_points.118,POINT (-61.454176023692334 15.586686715964651),Unknown Point Feature,B__118,Unknown,?
building_map_dom_points.119,POINT (-61.45512413512449 15.585635814892557),Unknown Point Feature,B__119,Unknown,?
building_map_dom_points.120,POINT (-61.45488433139877 15.585331484032926),Unknown Point Feature,B__120,Unknown,?
building_map_dom_points.121,POINT (-61.455403381042544 15.585591868912351),Unknown Point Feature,B__121,Unknown,?
building_map_dom_points.122,POINT (-61.45417566446196 15.585518315608864),Unknown Point Feature,B__122,Unknown,?
building_map_dom_points.123,POINT (-61.407531172072424 15.617654258265159),Unknown Point Feature,B__123,Unknown,?
building_map_dom_points.124,POINT (-61.40776985467238 15.617945380328024),Unknown Point Feature,B__124,Unknown,?
building_map_dom_points.125,POINT (-61.40796986333014 15.617971494760614),Unknown Point Feature,B__125,Unknown,?
building_map_dom_points.126,POINT (-61.40800019906233 15.617998023006455),Unknown Point Feature,B__126,Unknown,?
building_map_dom_points.127,POINT (-61.40808525770451 15.617969042964646),Unknown Point Feature,B__127,Unknown,?
building_map_dom_points.128,POINT (-61.40828411562755 15.617924445282602),Unknown Point Feature,B__128,Unknown,?
building_map_dom_points.129,POINT (-61.40843461830113 15.617989662789434),Unknown Point Feature,B__129,Unknown,?
building_map_dom_points.130,POINT (-61.40838679611865 15.618030422789884),Unknown Point Feature,B__130,Unknown,?
building_map_dom_points.131,POINT (-61.40855293636638 15.618048069835254),Unknown Point Feature,B__131,Unknown,?
building_map_dom_points.132,POINT (-61.408862573873385 15.61837916761546),Unknown Point Feature,B__132,Unknown,?
building_map_dom_points.133,POINT (-61.409086136072645 15.61821142819122),Unknown Point Feature,B__133,Unknown,?
building_map_dom_points.134,POINT (-61.40911743280675 15.618333330789268),Unknown Point Feature,B__134,Unknown,?
building_map_dom_points.135,POINT (-61.408429557900895 15.617766005751006),Unknown Point Feature,B__135,Unknown,?
building_map_dom_points.136,POINT (-61.40863628948945 15.617800389641534),Unknown Point Feature,B__136,Unknown,?
building_map_dom_points.137,POINT (-61.408827256910115 15.617898785529878),Unknown Point Feature,B__137,Unknown,?
building_map_dom_points.138,POINT (-61.408993092640024 15.617955892453628),Unknown Point Feature,B__138,Unknown,?
building_map_dom_points.139,POINT (-61.40904067365469 15.617946371648008),Unknown Point Feature,B__139,Unknown,?
building_map_dom_points.140,POINT (-61.40912024909888 15.617968323757275),Unknown Point Feature,B__140,Unknown,?
building_map_dom_points.141,POINT (-61.40925567295824 15.618008767443932),Unknown Point Feature,B__141,Unknown,?
building_map_dom_points.142,POINT (-61.40929623924237 15.618028792579283),Unknown Point Feature,B__142,Unknown,?
building_map_dom_points.143,POINT (-61.40936647226421 15.617942155230828),Unknown Point Feature,B__143,Unknown,?
building_map_dom_points.144,POINT (-61.40943192953747 15.618034708466253),Unknown Point Feature,B__144,Unknown,?
building_map_dom_points.145,POINT (-61.40938555044756 15.618108364514002),Unknown Point Feature,B__145,Unknown,?
building_map_dom_points.146,POINT (-61.40930744319755 15.61811601995361),Unknown Point Feature,B__146,Unknown,?
building_map_dom_points.147,POINT (-61.40915673713005 15.618077109825563),Unknown Point Feature,B__147,Unknown,?
building_map_dom_points.148,POINT (-61.408326025265424 15.616868603976487),Unknown Point Feature,B__148,Unknown,?
building_map_dom_points.149,POINT (-61.40829050270817 15.617074427966593),Unknown Point Feature,B__149,Unknown,?
building_map_dom_points.150,POINT (-61.4084321651976 15.617020920039856),Unknown Point Feature,B__150,Unknown,?
building_map_dom_points.151,POINT (-61.40843684865866 15.616908732736793),Unknown Point Feature,B__151,Unknown,?
building_map_dom_points.152,POINT (-61.40850885749047 15.616811831853603),Unknown Point Feature,B__152,Unknown,?
building_map_dom_points.153,POINT (-61.40859093831958 15.616893818040596),Unknown Point Feature,B__153,Unknown,?
building_map_dom_points.154,POINT (-61.40869828733101 15.61699941815175),Unknown Point Feature,B__154,Unknown,?
building_map_dom_points.155,POINT (-61.40873137774091 15.617163673672936),Unknown Point Feature,B__155,Unknown,?
building_map_dom_points.156,POINT (-61.40873734301358 15.617050262440301),Unknown Point Feature,B__156,Unknown,?
building_map_dom_points.157,POINT (-61.40872873495289 15.617341235420088),Unknown Point Feature,B__157,Unknown,?
building_map_dom_points.158,POINT (-61.409159424371325 15.617101415905443),Unknown Point Feature,B__158,Unknown,?
building_map_dom_points.159,POINT (-61.40926525630499 15.61707381907257),Unknown Point Feature,B__159,Unknown,?
building_map_dom_points.160,POINT (-61.409461511105036 15.617128268518108),Unknown Point Feature,B__160,Unknown,?
building_map_dom_points.161,POINT (-61.40955192495872 15.617431468820257),Unknown Point Feature,B__161,Unknown,?
building_map_dom_points.162,POINT (-61.40960030946246 15.617733268471193),Unknown Point Feature,B__162,Unknown,?
building_map_dom_points.163,POINT (-61.40987650432542 15.617157445704905),Unknown Point Feature,B__163,Unknown,?
building_map_dom_points.164,POINT (-61.43223099777655 15.425438123039859),Unknown Point Feature,B__164,Unknown,?
building_map_dom_points.165,POINT (-61.43063669092089 15.425855597258588),Unknown Point Feature,B__165,Unknown,?
building_map_dom_points.166,POINT (-61.430617801924555 15.425695661272295),Unknown Point Feature,B__166,Unknown,?
building_map_dom_points.167,POINT (-61.43063653797744 15.42534111019772),Unknown Point Feature,B__167,Unknown,?
building_map_dom_points.168,POINT (-61.430421416729786 15.425094039341479),Unknown Point Feature,B__168,Unknown,?
building_map_dom_points.169,POINT (-61.43035481114655 15.42486750644848),Unknown Point Feature,B__169,Unknown,?
building_map_dom_points.170,POINT (-61.43046554860785 15.424568172493538),Unknown Point Feature,B__170,Unknown,?
building_map_dom_points.171,POINT (-61.43058520651048 15.424685946986441),Unknown Point Feature,B__171,Unknown,?
building_map_dom_points.172,POINT (-61.430855582623195 15.42506592733335),Unknown Point Feature,B__172,Unknown,?
building_map_dom_points.173,POINT (-61.43096656124038 15.425269387994048),Unknown Point Feature,B__173,Unknown,?
building_map_dom_points.174,POINT (-61.43117442980137 15.42487719712182),Unknown Point Feature,B__174,Unknown,?
building_map_dom_points.175,POINT (-61.43111882336907 15.424791056506223),Unknown Point Feature,B__175,Unknown,?
building_map_dom_points.176,POINT (-61.43109512585863 15.424736322340998),Unknown Point Feature,B__176,Unknown,?
building_map_dom_points.177,POINT (-61.43090384837069 15.42452449903058),Unknown Point Feature,B__177,Unknown,?
building_map_dom_points.178,POINT (-61.430771082828706 15.42454694643819),Unknown Point Feature,B__178,Unknown,?
building_map_dom_points.179,POINT (-61.43036458502103 15.423031795984034),Unknown Point Feature,B__179,Unknown,?
building_map_dom_points.180,POINT (-61.430123946278016 15.423466835001161),Unknown Point Feature,B__180,Unknown,?
building_map_dom_points.181,POINT (-61.43057503535782 15.42283060722869),Unknown Point Feature,B__181,Unknown,?
building_map_dom_points.182,POINT (-61.43224753964976 15.426981698739143),Unknown Point Feature,B__182,Unknown,?
building_map_dom_points.183,POINT (-61.434678577768274 15.427509442977637),Unknown Point Feature,B__183,Unknown,?
building_map_dom_points.184,POINT (-61.43471552783522 15.427404467595988),Unknown Point Feature,B__184,Unknown,?
building_map_dom_points.185,POINT (-61.43532081710836 15.427061845902637),Unknown Point Feature,B__185,Unknown,?
building_map_dom_points.186,POINT (-61.435072077225534 15.432336383121704),Unknown Point Feature,B__186,Unknown,?
building_map_dom_points.187,POINT (-61.435022955259235 15.4324568631288),Unknown Point Feature,B__187,Unknown,?
building_map_dom_points.188,POINT (-61.435384344902275 15.432490592335554),Unknown Point Feature,B__188,Unknown,?
building_map_dom_points.189,POINT (-61.46342921495332 15.503469803235962),Unknown Point Feature,B__189,Unknown,?
building_map_dom_points.190,POINT (-61.46498631882914 15.503811923822358),Unknown Point Feature,B__190,Unknown,?
building_map_dom_points.191,POINT (-61.465865316768415 15.503989523920495),Unknown Point Feature,B__191,Unknown,?
building_map_dom_points.192,POINT (-61.46605067296917 15.503928448099217),Unknown Point Feature,B__192,Unknown,?
building_map_dom_points.193,POINT (-61.46520614090093 15.50452672055422),Unknown Point Feature,B__193,Unknown,?
building_map_dom_points.194,POINT (-61.465281330801446 15.504687046397683),Unknown Point Feature,B__194,Unknown,?
building_map_dom_points.195,POINT (-61.46669877220384 15.504891768082528),Unknown Point Feature,B__195,Unknown,?
building_map_dom_points.196,POINT (-61.4699308054724 15.517683078443005),Unknown Point Feature,B__196,Unknown,?
building_map_dom_points.197,POINT (-61.47002536807309 15.517738544381976),Unknown Point Feature,B__197,Unknown,?
building_map_dom_points.198,POINT (-61.44737854156047 15.52472286000521),Unknown Point Feature,B__198,Unknown,?
building_map_dom_points.199,POINT (-61.44753916597594 15.524713027708401),Unknown Point Feature,B__199,Unknown,?
building_map_dom_points.200,POINT (-61.44756025452356 15.524614517622611),Unknown Point Feature,B__200,Unknown,?
building_map_dom_points.201,POINT (-61.44746472811493 15.524688387668991),Unknown Point Feature,B__201,Unknown,?
building_map_dom_points.202,POINT (-61.4477610831117 15.524746926398242),Unknown Point Feature,B__202,Unknown,?
building_map_dom_points.203,POINT (-61.45062094624559 15.564786914585534),Unknown Point Feature,B__203,Unknown,?
building_map_dom_points.204,POINT (-61.4505398350244 15.564745419039728),Unknown Point Feature,B__204,Unknown,?
building_map_dom_points.205,POINT (-61.44996082157143 15.564747190880107),Unknown Point Feature,B__205,Unknown,?
building_map_dom_points.206,POINT (-61.449931339528256 15.565059766294823),Unknown Point Feature,B__206,Unknown,?
