FID,the_geom,LAYER,BUILDING_M,BUILDING_U,BUILDING_A
building_map_dom_points.20739,POINT (-61.24701361379262 15.319297283259607),Unknown Point Feature,B__20739,Unknown,?
building_map_dom_points.20740,POINT (-61.247502460562195 15.31902096228087),Unknown Point Feature,B__20740,Unknown,?
building_map_dom_points.20741,POINT (-61.24833797150994 15.31895521685409),Unknown Point Feature,B__20741,Unknown,?
building_map_dom_points.20742,POINT (-61.248189165510716 15.31902634847734),Unknown Point Feature,B__20742,Unknown,?
building_map_dom_points.20743,POINT (-61.24942088307885 15.318719698068232),Unknown Point Feature,B__20743,Unknown,?
building_map_dom_points.20744,POINT (-61.24849959632859 15.318649215447138),Unknown Point Feature,B__20744,Unknown,?
building_map_dom_points.20745,POINT (-61.24845379236442 15.318558483173486),Unknown Point Feature,B__20745,Unknown,?
building_map_dom_points.20746,POINT (-61.248808145824654 15.318498000023409),Unknown Point Feature,B__20746,Unknown,?
building_map_dom_points.20747,POINT (-61.24910700771064 15.31839189478818),Unknown Point Feature,B__20747,Unknown,?
building_map_dom_points.20748,POINT (-61.24901104453255 15.318174247035234),Unknown Point Feature,B__20748,Unknown,?
building_map_dom_points.20749,POINT (-61.247581998350626 15.318135929772309),Unknown Point Feature,B__20749,Unknown,?
building_map_dom_points.20750,POINT (-61.25047720037741 15.314869035735235),Unknown Point Feature,B__20750,Unknown,?
building_map_dom_points.20751,POINT (-61.24773027456194 15.310392114116526),Unknown Point Feature,B__20751,Unknown,?
building_map_dom_points.20752,POINT (-61.24941934906249 15.310134230454532),Unknown Point Feature,B__20752,Unknown,?
building_map_dom_points.20753,POINT (-61.25040550052693 15.310051578910674),Unknown Point Feature,B__20753,Unknown,?
building_map_dom_points.20754,POINT (-61.248292460726496 15.30997176694455),Unknown Point Feature,B__20754,Unknown,?
building_map_dom_points.20755,POINT (-61.25062152769032 15.309827336603417),Unknown Point Feature,B__20755,Unknown,?
building_map_dom_points.20756,POINT (-61.24799810749976 15.309770638779495),Unknown Point Feature,B__20756,Unknown,?
building_map_dom_points.20757,POINT (-61.24954221949768 15.309728513143149),Unknown Point Feature,B__20757,Unknown,?
building_map_dom_points.20758,POINT (-61.24817677894006 15.309699740679674),Unknown Point Feature,B__20758,Unknown,?
building_map_dom_points.20759,POINT (-61.250576324952696 15.30966431086437),Unknown Point Feature,B__20759,Unknown,?
building_map_dom_points.20760,POINT (-61.25009238597135 15.309633410570292),Unknown Point Feature,B__20760,Unknown,?
building_map_dom_points.20761,POINT (-61.2496582811624 15.30939504099679),Unknown Point Feature,B__20761,Unknown,?
building_map_dom_points.20762,POINT (-61.24982687748737 15.309369249226004),Unknown Point Feature,B__20762,Unknown,?
building_map_dom_points.20763,POINT (-61.251464233374236 15.30926457872999),Unknown Point Feature,B__20763,Unknown,?
building_map_dom_points.20764,POINT (-61.250114011883454 15.30927208675296),Unknown Point Feature,B__20764,Unknown,?
building_map_dom_points.20765,POINT (-61.25122725730791 15.309208500782242),Unknown Point Feature,B__20765,Unknown,?
building_map_dom_points.20766,POINT (-61.251000693637614 15.309206728063346),Unknown Point Feature,B__20766,Unknown,?
building_map_dom_points.20767,POINT (-61.25192106480826 15.309195853291559),Unknown Point Feature,B__20767,Unknown,?
building_map_dom_points.20768,POINT (-61.25034002509759 15.308966586869417),Unknown Point Feature,B__20768,Unknown,?
building_map_dom_points.20769,POINT (-61.25015163117972 15.308947037436285),Unknown Point Feature,B__20769,Unknown,?
building_map_dom_points.20770,POINT (-61.250835825898804 15.308690310031047),Unknown Point Feature,B__20770,Unknown,?
building_map_dom_points.20771,POINT (-61.25074804885713 15.308608287141986),Unknown Point Feature,B__20771,Unknown,?
building_map_dom_points.20772,POINT (-61.25055011912794 15.308615775439252),Unknown Point Feature,B__20772,Unknown,?
building_map_dom_points.20773,POINT (-61.25243138928551 15.30843167007228),Unknown Point Feature,B__20773,Unknown,?
building_map_dom_points.20774,POINT (-61.25149914487979 15.308424379731065),Unknown Point Feature,B__20774,Unknown,?
building_map_dom_points.20775,POINT (-61.25237526061998 15.3083227831834),Unknown Point Feature,B__20775,Unknown,?
building_map_dom_points.20776,POINT (-61.25147323857968 15.308180169045281),Unknown Point Feature,B__20776,Unknown,?
building_map_dom_points.20777,POINT (-61.25139354098765 15.308134358940709),Unknown Point Feature,B__20777,Unknown,?
building_map_dom_points.20778,POINT (-61.25170070156778 15.308073500181823),Unknown Point Feature,B__20778,Unknown,?
building_map_dom_points.20779,POINT (-61.25093629028275 15.307805437592624),Unknown Point Feature,B__20779,Unknown,?
building_map_dom_points.20780,POINT (-61.252189264754975 15.307733901966225),Unknown Point Feature,B__20780,Unknown,?
building_map_dom_points.20781,POINT (-61.2512722286081 15.307717692554517),Unknown Point Feature,B__20781,Unknown,?
building_map_dom_points.20782,POINT (-61.252344392571565 15.307554368061496),Unknown Point Feature,B__20782,Unknown,?
building_map_dom_points.20783,POINT (-61.252102987688595 15.307471144561246),Unknown Point Feature,B__20783,Unknown,?
building_map_dom_points.20784,POINT (-61.25506501124985 15.307349687830781),Unknown Point Feature,B__20784,Unknown,?
building_map_dom_points.20785,POINT (-61.25232246294219 15.30711136700222),Unknown Point Feature,B__20785,Unknown,?
building_map_dom_points.20786,POINT (-61.25489020345542 15.307095277448935),Unknown Point Feature,B__20786,Unknown,?
building_map_dom_points.20787,POINT (-61.25209640063151 15.306955964782812),Unknown Point Feature,B__20787,Unknown,?
building_map_dom_points.20788,POINT (-61.25333673115739 15.306911435349551),Unknown Point Feature,B__20788,Unknown,?
building_map_dom_points.20789,POINT (-61.25275811207527 15.30678942820318),Unknown Point Feature,B__20789,Unknown,?
building_map_dom_points.20790,POINT (-61.25274296570395 15.30646396553511),Unknown Point Feature,B__20790,Unknown,?
building_map_dom_points.20791,POINT (-61.25411401835185 15.306375266410868),Unknown Point Feature,B__20791,Unknown,?
building_map_dom_points.20792,POINT (-61.25222454208144 15.30628820358336),Unknown Point Feature,B__20792,Unknown,?
building_map_dom_points.20793,POINT (-61.25486317829529 15.306236518220254),Unknown Point Feature,B__20793,Unknown,?
building_map_dom_points.20794,POINT (-61.25295603288217 15.306221622484474),Unknown Point Feature,B__20794,Unknown,?
building_map_dom_points.20795,POINT (-61.25338642426583 15.305971939831421),Unknown Point Feature,B__20795,Unknown,?
building_map_dom_points.20796,POINT (-61.25270434034927 15.30597564720811),Unknown Point Feature,B__20796,Unknown,?
building_map_dom_points.20797,POINT (-61.25468270955435 15.305729017779177),Unknown Point Feature,B__20797,Unknown,?
building_map_dom_points.20798,POINT (-61.25288873262926 15.304513038754083),Unknown Point Feature,B__20798,Unknown,?
building_map_dom_points.20799,POINT (-61.25289495817949 15.304043145534758),Unknown Point Feature,B__20799,Unknown,?
building_map_dom_points.20800,POINT (-61.251797463415556 15.293795257431258),Unknown Point Feature,B__20800,Unknown,?
building_map_dom_points.20801,POINT (-61.258824218027186 15.29329877569691),Unknown Point Feature,B__20801,Unknown,?
building_map_dom_points.20802,POINT (-61.25007951146105 15.293248623354284),Unknown Point Feature,B__20802,Unknown,?
building_map_dom_points.20803,POINT (-61.258909115661474 15.292883717067696),Unknown Point Feature,B__20803,Unknown,?
building_map_dom_points.20804,POINT (-61.2598148267274 15.292854613940802),Unknown Point Feature,B__20804,Unknown,?
building_map_dom_points.20805,POINT (-61.25862311384059 15.292565183066946),Unknown Point Feature,B__20805,Unknown,?
building_map_dom_points.20806,POINT (-61.260206733023125 15.292469054365066),Unknown Point Feature,B__20806,Unknown,?
building_map_dom_points.20807,POINT (-61.25952498913384 15.292436639953225),Unknown Point Feature,B__20807,Unknown,?
building_map_dom_points.20808,POINT (-61.260880194674826 15.292094719988047),Unknown Point Feature,B__20808,Unknown,?
building_map_dom_points.20809,POINT (-61.26127300900133 15.291880875614584),Unknown Point Feature,B__20809,Unknown,?
building_map_dom_points.20810,POINT (-61.258752132745684 15.291599187870437),Unknown Point Feature,B__20810,Unknown,?
building_map_dom_points.20811,POINT (-61.2675408520729 15.291577035816406),Unknown Point Feature,B__20811,Unknown,?
building_map_dom_points.20812,POINT (-61.26696558808015 15.29142798235097),Unknown Point Feature,B__20812,Unknown,?
building_map_dom_points.20813,POINT (-61.25887495918568 15.291157312165456),Unknown Point Feature,B__20813,Unknown,?
building_map_dom_points.20814,POINT (-61.2671319241018 15.291203335304365),Unknown Point Feature,B__20814,Unknown,?
building_map_dom_points.20815,POINT (-61.260701746354826 15.29115344479776),Unknown Point Feature,B__20815,Unknown,?
building_map_dom_points.20816,POINT (-61.266541111876826 15.290963786356205),Unknown Point Feature,B__20816,Unknown,?
building_map_dom_points.20817,POINT (-61.26653701465551 15.290683594901978),Unknown Point Feature,B__20817,Unknown,?
building_map_dom_points.20818,POINT (-61.26661782179789 15.29069325829981),Unknown Point Feature,B__20818,Unknown,?
building_map_dom_points.20819,POINT (-61.2667775379096 15.290613158783719),Unknown Point Feature,B__20819,Unknown,?
building_map_dom_points.20820,POINT (-61.266925500684806 15.290641417053852),Unknown Point Feature,B__20820,Unknown,?
building_map_dom_points.20821,POINT (-61.26077896910062 15.290539502786975),Unknown Point Feature,B__20821,Unknown,?
building_map_dom_points.20822,POINT (-61.26085353486776 15.290374322295563),Unknown Point Feature,B__20822,Unknown,?
building_map_dom_points.20823,POINT (-61.27112024622894 15.294337505008054),Unknown Point Feature,B__20823,Unknown,?
building_map_dom_points.20824,POINT (-61.25896506162175 15.290055453043632),Unknown Point Feature,B__20824,Unknown,?
building_map_dom_points.20825,POINT (-61.25901282115908 15.28972144158368),Unknown Point Feature,B__20825,Unknown,?
building_map_dom_points.20826,POINT (-61.259833579688866 15.289736863019298),Unknown Point Feature,B__20826,Unknown,?
building_map_dom_points.20827,POINT (-61.26663523042345 15.289708315360176),Unknown Point Feature,B__20827,Unknown,?
building_map_dom_points.20828,POINT (-61.257186300581544 15.28954455097639),Unknown Point Feature,B__20828,Unknown,?
building_map_dom_points.20829,POINT (-61.259728453846996 15.28950107354168),Unknown Point Feature,B__20829,Unknown,?
building_map_dom_points.20830,POINT (-61.2660038564498 15.289495563458317),Unknown Point Feature,B__20830,Unknown,?
building_map_dom_points.20831,POINT (-61.26614801342839 15.289514755260601),Unknown Point Feature,B__20831,Unknown,?
building_map_dom_points.20832,POINT (-61.265845511466054 15.289503373842066),Unknown Point Feature,B__20832,Unknown,?
building_map_dom_points.20833,POINT (-61.25912367650722 15.28945118261025),Unknown Point Feature,B__20833,Unknown,?
building_map_dom_points.20834,POINT (-61.25923921626506 15.289271333797702),Unknown Point Feature,B__20834,Unknown,?
building_map_dom_points.20835,POINT (-61.267886638299125 15.289248059573458),Unknown Point Feature,B__20835,Unknown,?
building_map_dom_points.20836,POINT (-61.26605023439006 15.289233837956962),Unknown Point Feature,B__20836,Unknown,?
building_map_dom_points.20837,POINT (-61.264507544291895 15.289167654878321),Unknown Point Feature,B__20837,Unknown,?
building_map_dom_points.20838,POINT (-61.26569749404038 15.289104580803977),Unknown Point Feature,B__20838,Unknown,?
building_map_dom_points.20839,POINT (-61.25914790704425 15.289053726362004),Unknown Point Feature,B__20839,Unknown,?
building_map_dom_points.20840,POINT (-61.265961542627956 15.288980103270806),Unknown Point Feature,B__20840,Unknown,?
building_map_dom_points.20841,POINT (-61.25826525026015 15.28882996124297),Unknown Point Feature,B__20841,Unknown,?
building_map_dom_points.20842,POINT (-61.25626290650052 15.288805330672764),Unknown Point Feature,B__20842,Unknown,?
building_map_dom_points.20843,POINT (-61.26844795288555 15.288827644833784),Unknown Point Feature,B__20843,Unknown,?
building_map_dom_points.20844,POINT (-61.26778794003889 15.288795424780458),Unknown Point Feature,B__20844,Unknown,?
building_map_dom_points.20845,POINT (-61.26829999104156 15.28879938767788),Unknown Point Feature,B__20845,Unknown,?
building_map_dom_points.20846,POINT (-61.26577935600607 15.28849067143615),Unknown Point Feature,B__20846,Unknown,?
building_map_dom_points.20847,POINT (-61.26818651052978 15.288446050200577),Unknown Point Feature,B__20847,Unknown,?
building_map_dom_points.20848,POINT (-61.269020423716114 15.288371165056162),Unknown Point Feature,B__20848,Unknown,?
building_map_dom_points.20849,POINT (-61.26691933504744 15.28799340735417),Unknown Point Feature,B__20849,Unknown,?
building_map_dom_points.20850,POINT (-61.26475528725499 15.2879133768374),Unknown Point Feature,B__20850,Unknown,?
building_map_dom_points.20851,POINT (-61.265373930911565 15.287692237487729),Unknown Point Feature,B__20851,Unknown,?
building_map_dom_points.20852,POINT (-61.26367657618682 15.287471215157227),Unknown Point Feature,B__20852,Unknown,?
building_map_dom_points.20853,POINT (-61.26807593404718 15.285471883533017),Unknown Point Feature,B__20853,Unknown,?
building_map_dom_points.20854,POINT (-61.26813254212305 15.285192161494265),Unknown Point Feature,B__20854,Unknown,?
building_map_dom_points.20855,POINT (-61.26776620590359 15.285207401609092),Unknown Point Feature,B__20855,Unknown,?
building_map_dom_points.20856,POINT (-61.2696182175408 15.284733705352279),Unknown Point Feature,B__20856,Unknown,?
building_map_dom_points.20857,POINT (-61.26968583305692 15.284435992921416),Unknown Point Feature,B__20857,Unknown,?
building_map_dom_points.20858,POINT (-61.26662426178371 15.284105034132693),Unknown Point Feature,B__20858,Unknown,?
building_map_dom_points.20859,POINT (-61.269914976845214 15.283741882037473),Unknown Point Feature,B__20859,Unknown,?
building_map_dom_points.20860,POINT (-61.26533995715018 15.283616102736838),Unknown Point Feature,B__20860,Unknown,?
building_map_dom_points.20861,POINT (-61.26480669949811 15.283223778080325),Unknown Point Feature,B__20861,Unknown,?
building_map_dom_points.20862,POINT (-61.26540559849425 15.282993030027235),Unknown Point Feature,B__20862,Unknown,?
building_map_dom_points.20863,POINT (-61.25963593595629 15.275465291096447),Unknown Point Feature,B__20863,Unknown,?
building_map_dom_points.20864,POINT (-61.26132660271106 15.27513514016402),Unknown Point Feature,B__20864,Unknown,?
building_map_dom_points.20865,POINT (-61.26108045014441 15.274934267445316),Unknown Point Feature,B__20865,Unknown,?
building_map_dom_points.20866,POINT (-61.2613849219902 15.274812276220915),Unknown Point Feature,B__20866,Unknown,?
building_map_dom_points.20867,POINT (-61.34897281479828 15.274876404112312),Unknown Point Feature,B__20867,Unknown,?
building_map_dom_points.20868,POINT (-61.34547749654968 15.274489101944244),Unknown Point Feature,B__20868,Unknown,?
building_map_dom_points.20869,POINT (-61.25861701391454 15.27356855666241),Unknown Point Feature,B__20869,Unknown,?
building_map_dom_points.20870,POINT (-61.34837093765696 15.274157984186758),Unknown Point Feature,B__20870,Unknown,?
building_map_dom_points.20871,POINT (-61.345480471928475 15.274109538781763),Unknown Point Feature,B__20871,Unknown,?
building_map_dom_points.20872,POINT (-61.25825603926877 15.273312703126189),Unknown Point Feature,B__20872,Unknown,?
building_map_dom_points.20873,POINT (-61.34893207368751 15.273538516030447),Unknown Point Feature,B__20873,Unknown,?
building_map_dom_points.20874,POINT (-61.343791275820934 15.273437300283712),Unknown Point Feature,B__20874,Unknown,?
building_map_dom_points.20875,POINT (-61.346235641900584 15.273383058335993),Unknown Point Feature,B__20875,Unknown,?
building_map_dom_points.20876,POINT (-61.349226466128535 15.27309783570115),Unknown Point Feature,B__20876,Unknown,?
building_map_dom_points.20877,POINT (-61.345211729226286 15.272959760416935),Unknown Point Feature,B__20877,Unknown,?
building_map_dom_points.20878,POINT (-61.34674712686743 15.272862644668807),Unknown Point Feature,B__20878,Unknown,?
building_map_dom_points.20879,POINT (-61.345137046225005 15.272787491614993),Unknown Point Feature,B__20879,Unknown,?
building_map_dom_points.20880,POINT (-61.34203527018517 15.271987310795987),Unknown Point Feature,B__20880,Unknown,?
building_map_dom_points.20881,POINT (-61.3419834383363 15.271869436695996),Unknown Point Feature,B__20881,Unknown,?
building_map_dom_points.20882,POINT (-61.34174732062857 15.27170500988711),Unknown Point Feature,B__20882,Unknown,?
building_map_dom_points.20883,POINT (-61.34187801024146 15.271660788600713),Unknown Point Feature,B__20883,Unknown,?
building_map_dom_points.20884,POINT (-61.35240224762757 15.271629984889957),Unknown Point Feature,B__20884,Unknown,?
building_map_dom_points.20885,POINT (-61.3417414184661 15.271271155218175),Unknown Point Feature,B__20885,Unknown,?
building_map_dom_points.20886,POINT (-61.34133032070377 15.271159659131342),Unknown Point Feature,B__20886,Unknown,?
building_map_dom_points.20887,POINT (-61.34166900036786 15.27100852502869),Unknown Point Feature,B__20887,Unknown,?
building_map_dom_points.20888,POINT (-61.376242373797155 15.26556792433867),Unknown Point Feature,B__20888,Unknown,?
building_map_dom_points.20889,POINT (-61.37629899516101 15.265468918030692),Unknown Point Feature,B__20889,Unknown,?
building_map_dom_points.20890,POINT (-61.37623473189348 15.265350960128364),Unknown Point Feature,B__20890,Unknown,?
building_map_dom_points.20891,POINT (-61.37633769224754 15.265279403152837),Unknown Point Feature,B__20891,Unknown,?
building_map_dom_points.20892,POINT (-61.376355871299495 15.2651349289554),Unknown Point Feature,B__20892,Unknown,?
building_map_dom_points.20893,POINT (-61.37593140043876 15.26500532317553),Unknown Point Feature,B__20893,Unknown,?
building_map_dom_points.20894,POINT (-61.37610752581301 15.264943334357158),Unknown Point Feature,B__20894,Unknown,?
building_map_dom_points.20895,POINT (-61.37655445054284 15.264937534409196),Unknown Point Feature,B__20895,Unknown,?
building_map_dom_points.20896,POINT (-61.37642170932039 15.264846194111815),Unknown Point Feature,B__20896,Unknown,?
building_map_dom_points.20897,POINT (-61.37657390311029 15.264829220879601),Unknown Point Feature,B__20897,Unknown,?
building_map_dom_points.20898,POINT (-61.376173664967844 15.264817283424916),Unknown Point Feature,B__20898,Unknown,?
building_map_dom_points.20899,POINT (-61.37633227348671 15.264773243227248),Unknown Point Feature,B__20899,Unknown,?
building_map_dom_points.20900,POINT (-61.376664936687625 15.264694312228475),Unknown Point Feature,B__20900,Unknown,?
building_map_dom_points.20901,POINT (-61.37630087142937 15.264619371947125),Unknown Point Feature,B__20901,Unknown,?
building_map_dom_points.20902,POINT (-61.376189435716846 15.264582413104902),Unknown Point Feature,B__20902,Unknown,?
building_map_dom_points.20903,POINT (-61.37584033069924 15.26457988343802),Unknown Point Feature,B__20903,Unknown,?
building_map_dom_points.20904,POINT (-61.37674123015001 15.26455929676765),Unknown Point Feature,B__20904,Unknown,?
building_map_dom_points.20905,POINT (-61.376471394491105 15.26453926647356),Unknown Point Feature,B__20905,Unknown,?
building_map_dom_points.20906,POINT (-61.37633280617394 15.264502111006406),Unknown Point Feature,B__20906,Unknown,?
building_map_dom_points.20907,POINT (-61.37677971823044 15.264396893848188),Unknown Point Feature,B__20907,Unknown,?
building_map_dom_points.20908,POINT (-61.376004705632056 15.264391279359275),Unknown Point Feature,B__20908,Unknown,?
building_map_dom_points.20909,POINT (-61.376633163662326 15.26438679448538),Unknown Point Feature,B__20909,Unknown,?
building_map_dom_points.20910,POINT (-61.376254995800444 15.264329827765673),Unknown Point Feature,B__20910,Unknown,?
building_map_dom_points.20911,POINT (-61.37613066126064 15.2643560405376),Unknown Point Feature,B__20911,Unknown,?
building_map_dom_points.20912,POINT (-61.37611287614525 15.264247457249432),Unknown Point Feature,B__20912,Unknown,?
building_map_dom_points.20913,POINT (-61.37691256272606 15.264171909159614),Unknown Point Feature,B__20913,Unknown,?
building_map_dom_points.20914,POINT (-61.37665344962814 15.264170032521637),Unknown Point Feature,B__20914,Unknown,?
building_map_dom_points.20915,POINT (-61.37713484408202 15.263947571981614),Unknown Point Feature,B__20915,Unknown,?
building_map_dom_points.20916,POINT (-61.376401719257764 15.264095906106729),Unknown Point Feature,B__20916,Unknown,?
building_map_dom_points.20917,POINT (-61.3768239722033 15.264089926728031),Unknown Point Feature,B__20917,Unknown,?
building_map_dom_points.20918,POINT (-61.37666331475201 15.264097801007795),Unknown Point Feature,B__20918,Unknown,?
building_map_dom_points.20919,POINT (-61.37691194277121 15.264000185102136),Unknown Point Feature,B__20919,Unknown,?
building_map_dom_points.20920,POINT (-61.37653162760876 15.263970316965217),Unknown Point Feature,B__20920,Unknown,?
building_map_dom_points.20921,POINT (-61.37680872245079 15.263954248209284),Unknown Point Feature,B__20921,Unknown,?
building_map_dom_points.20922,POINT (-61.376710255196414 15.263845080598548),Unknown Point Feature,B__20922,Unknown,?
building_map_dom_points.20923,POINT (-61.37678402436716 15.263836577004861),Unknown Point Feature,B__20923,Unknown,?
building_map_dom_points.20924,POINT (-61.37655187300955 15.263708365360994),Unknown Point Feature,B__20924,Unknown,?
building_map_dom_points.20925,POINT (-61.37615681855514 15.263678389876256),Unknown Point Feature,B__20925,Unknown,?
building_map_dom_points.20926,POINT (-61.37628975579983 15.26364320150466),Unknown Point Feature,B__20926,Unknown,?
building_map_dom_points.20927,POINT (-61.376624895204564 15.263645629178173),Unknown Point Feature,B__20927,Unknown,?
building_map_dom_points.20928,POINT (-61.376965106045986 15.2635938658403),Unknown Point Feature,B__20928,Unknown,?
building_map_dom_points.20929,POINT (-61.37708689243297 15.263495331117625),Unknown Point Feature,B__20929,Unknown,?
building_map_dom_points.20930,POINT (-61.37688201566391 15.26350288540454),Unknown Point Feature,B__20930,Unknown,?
building_map_dom_points.20931,POINT (-61.37654708482531 15.263473346033846),Unknown Point Feature,B__20931,Unknown,?
building_map_dom_points.20932,POINT (-61.376939521992625 15.263440036739548),Unknown Point Feature,B__20932,Unknown,?
building_map_dom_points.20933,POINT (-61.376430635939734 15.263382123823481),Unknown Point Feature,B__20933,Unknown,?
building_map_dom_points.20934,POINT (-61.37670507608176 15.263347960152352),Unknown Point Feature,B__20934,Unknown,?
building_map_dom_points.20935,POINT (-61.37692501918191 15.26335859086358),Unknown Point Feature,B__20935,Unknown,?
building_map_dom_points.20936,POINT (-61.3771277073291 15.263332944930607),Unknown Point Feature,B__20936,Unknown,?
building_map_dom_points.20937,POINT (-61.37731142947461 15.263352350870544),Unknown Point Feature,B__20937,Unknown,?
building_map_dom_points.20938,POINT (-61.37702280339379 15.263250844476724),Unknown Point Feature,B__20938,Unknown,?
building_map_dom_points.20939,POINT (-61.37660412213708 15.263320115352652),Unknown Point Feature,B__20939,Unknown,?
building_map_dom_points.20940,POINT (-61.37652978574567 15.263301501181314),Unknown Point Feature,B__20940,Unknown,?
building_map_dom_points.20941,POINT (-61.37639662869408 15.263264385162705),Unknown Point Feature,B__20941,Unknown,?
building_map_dom_points.20942,POINT (-61.377151230307696 15.263179471400926),Unknown Point Feature,B__20942,Unknown,?
building_map_dom_points.20943,POINT (-61.37692428903144 15.263150714505153),Unknown Point Feature,B__20943,Unknown,?
building_map_dom_points.20944,POINT (-61.376438758329634 15.263183349503652),Unknown Point Feature,B__20944,Unknown,?
building_map_dom_points.20945,POINT (-61.37681928040003 15.263186105552283),Unknown Point Feature,B__20945,Unknown,?
building_map_dom_points.20946,POINT (-61.376769675986104 15.262977875253448),Unknown Point Feature,B__20946,Unknown,?
building_map_dom_points.20947,POINT (-61.375582241363844 15.263032537670748),Unknown Point Feature,B__20947,Unknown,?
building_map_dom_points.20948,POINT (-61.377108983074514 15.263043597404772),Unknown Point Feature,B__20948,Unknown,?
building_map_dom_points.20949,POINT (-61.37688562682512 15.26303294218627),Unknown Point Feature,B__20949,Unknown,?
building_map_dom_points.20950,POINT (-61.376478120398446 15.262957687849076),Unknown Point Feature,B__20950,Unknown,?
building_map_dom_points.20951,POINT (-61.37704828038931 15.26291662764563),Unknown Point Feature,B__20951,Unknown,?
building_map_dom_points.20952,POINT (-61.37687530951258 15.262861147891092),Unknown Point Feature,B__20952,Unknown,?
building_map_dom_points.20953,POINT (-61.37666296515614 15.262931913059056),Unknown Point Feature,B__20953,Unknown,?
building_map_dom_points.20954,POINT (-61.37650797632426 15.262858487520823),Unknown Point Feature,B__20954,Unknown,?
building_map_dom_points.20955,POINT (-61.37676380511752 15.262833226779389),Unknown Point Feature,B__20955,Unknown,?
building_map_dom_points.20956,POINT (-61.37664504089946 15.262841404522607),Unknown Point Feature,B__20956,Unknown,?
building_map_dom_points.20957,POINT (-61.37706500517904 15.26270887765518),Unknown Point Feature,B__20957,Unknown,?
building_map_dom_points.20958,POINT (-61.3765972084147 15.262705490010307),Unknown Point Feature,B__20958,Unknown,?
building_map_dom_points.20959,POINT (-61.376395007108464 15.262667873942412),Unknown Point Feature,B__20959,Unknown,?
building_map_dom_points.20960,POINT (-61.375157953521345 15.26266794763441),Unknown Point Feature,B__20960,Unknown,?
building_map_dom_points.20961,POINT (-61.37653478679743 15.262650810668307),Unknown Point Feature,B__20961,Unknown,?
building_map_dom_points.20962,POINT (-61.376788814774045 15.262607461086276),Unknown Point Feature,B__20962,Unknown,?
building_map_dom_points.20963,POINT (-61.37694474695841 15.262608590269274),Unknown Point Feature,B__20963,Unknown,?
building_map_dom_points.20964,POINT (-61.375958021939255 15.262592405201753),Unknown Point Feature,B__20964,Unknown,?
building_map_dom_points.20965,POINT (-61.37631191731703 15.262576893347669),Unknown Point Feature,B__20965,Unknown,?
building_map_dom_points.20966,POINT (-61.37520889511445 15.262550824647878),Unknown Point Feature,B__20966,Unknown,?
building_map_dom_points.20967,POINT (-61.377045239456194 15.262555090686563),Unknown Point Feature,B__20967,Unknown,?
building_map_dom_points.20968,POINT (-61.37713854157802 15.262528652616044),Unknown Point Feature,B__20968,Unknown,?
building_map_dom_points.20969,POINT (-61.37694530247419 15.262536291305938),Unknown Point Feature,B__20969,Unknown,?
building_map_dom_points.20970,POINT (-61.376320508725456 15.262468501133117),Unknown Point Feature,B__20970,Unknown,?
building_map_dom_points.20971,POINT (-61.37688986283618 15.262481662615627),Unknown Point Feature,B__20971,Unknown,?
building_map_dom_points.20972,POINT (-61.37648983742916 15.262442614051173),Unknown Point Feature,B__20972,Unknown,?
building_map_dom_points.20973,POINT (-61.37609439745421 15.262412635876112),Unknown Point Feature,B__20973,Unknown,?
building_map_dom_points.20974,POINT (-61.37595596574091 15.262375481436218),Unknown Point Feature,B__20974,Unknown,?
building_map_dom_points.20975,POINT (-61.37709003116855 15.26232946815721),Unknown Point Feature,B__20975,Unknown,?
building_map_dom_points.20976,POINT (-61.37575495285607 15.262364987045173),Unknown Point Feature,B__20976,Unknown,?
building_map_dom_points.20977,POINT (-61.37477019835709 15.262294583942372),Unknown Point Feature,B__20977,Unknown,?
building_map_dom_points.20978,POINT (-61.376257867214036 15.262341517167055),Unknown Point Feature,B__20978,Unknown,?
building_map_dom_points.20979,POINT (-61.37584818551191 15.262347586884824),Unknown Point Feature,B__20979,Unknown,?
building_map_dom_points.20980,POINT (-61.37665851740124 15.262299229799286),Unknown Point Feature,B__20980,Unknown,?
building_map_dom_points.20981,POINT (-61.374992001943156 15.262305229935313),Unknown Point Feature,B__20981,Unknown,?
building_map_dom_points.20982,POINT (-61.37593061522435 15.262221653976832),Unknown Point Feature,B__20982,Unknown,?
building_map_dom_points.20983,POINT (-61.374521162154636 15.262193361606164),Unknown Point Feature,B__20983,Unknown,?
building_map_dom_points.20984,POINT (-61.3771341284676 15.26219421932128),Unknown Point Feature,B__20984,Unknown,?
building_map_dom_points.20985,POINT (-61.37628697624798 15.262188084228507),Unknown Point Feature,B__20985,Unknown,?
building_map_dom_points.20986,POINT (-61.319156222154106 15.26177599233046),Unknown Point Feature,B__20986,Unknown,?
building_map_dom_points.20987,POINT (-61.37574717225184 15.262166097549937),Unknown Point Feature,B__20987,Unknown,?
building_map_dom_points.20988,POINT (-61.37665969805178 15.262145594519264),Unknown Point Feature,B__20988,Unknown,?
building_map_dom_points.20989,POINT (-61.374382356399124 15.262083900609133),Unknown Point Feature,B__20989,Unknown,?
building_map_dom_points.20990,POINT (-61.37721758221212 15.262086369026344),Unknown Point Feature,B__20990,Unknown,?
building_map_dom_points.20991,POINT (-61.37582220301239 15.262094338279764),Unknown Point Feature,B__20991,Unknown,?
