finish_id,title,finish_date,calendar_finish_ref,read_instance,is_reread,previous_finish_date,days_since_previous_finish,category,author,total_reading_hours,total_reading_minutes,print_reading_hours,audiobook_hours,audiobook_share,audiobook_wpm_assumed,n_sessions,first_session,last_session,pages,page_source,words_per_page_assumed,estimated_words,observed_total_wpm,audiobook_words_assumed,print_words_after_audiobook_assumption,audio_words_exceed_estimated_words,wpm,wpm_basis,highlighted_words,my_note_words,highlight_count,my_note_count,notes_max_page,notes_title,notes_sources,time_match_methods,word_count_confidence,word_count_confidence_reason,calendar_confidence,calendar_confidence_reason,speed_confidence,high_confidence_speed,high_confidence_first_read,reliable_speed,reliable_first_read,estimated_word_count,highlight_words_per_10k_words,note_words_per_10k_words,highlights_per_100_pages
finish_0082,Harry Potter and the Methods of Rationality,2023-10-25,hpmor,1,False,,,fiction,Eliezer Yudkowsky,20.0,1200.0,20.0,0.0,0.0,,8,2023-10-21,2023-10-25,1967.0,golden_master_multi_source.csv,275.0,540925.0,450.7708333333333,0.0,540925.0,False,450.7708333333333,pages_over_total_calendar_time,1831,72,53,4,1916.0,Harry Potter and the Methods of Rationality,Notes from _Harry Potter and the Methods of Rationality_.docx,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,540925.0,33.849424596755554,1.3310532883486619,2.6944585663446876
finish_0083,Three Men in a Boat,2023-11-08,3 men in a boat,1,False,,,Literature,Jerome K. Jerome,3.0,180.0,3.0,0.0,0.0,,4,2023-11-08,2023-11-08,184.0,golden_master_multi_source.csv,275.0,50600.0,281.1111111111111,0.0,50600.0,False,281.1111111111111,pages_over_total_calendar_time,900,0,21,0,216.0,Three Men in a Boat,Notes from _Three Men in a Boat_.docx,ref_to_finished_title,medium,Play Books max highlighted page modestly exceeds metadata pages,high,specific calendar matches and plausible speed,medium,False,False,True,True,50600.0,177.86561264822134,0.0,11.41304347826087
finish_0084,out of the silent planet,2023-12-05,out of the silent planet,1,False,,,fiction,C. S. Lewis,2.75,165.0,2.75,0.0,0.0,,3,2023-11-29,2023-12-04,174.0,golden_master_multi_source.csv,275.0,47850.0,290.0,0.0,47850.0,False,290.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,47850.0,0.0,0.0,0.0
finish_0085,Perelandra by CS Lewis book 2.pdf,2023-12-10,perelandra,1,False,,,fiction,C. S. Lewis,3.0,180.0,3.0,0.0,0.0,,6,2023-12-06,2023-12-10,223.0,golden_master_multi_source.csv,275.0,61325.0,340.69444444444446,0.0,61325.0,False,340.69444444444446,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,61325.0,0.0,0.0,0.0
finish_0086,that hideous strength,2023-12-14,that hideous strength,1,False,,,fiction,C.S. Lewis,7.75,465.0,7.75,0.0,0.0,,8,2023-12-11,2023-12-14,382.0,golden_master_multi_source.csv,275.0,105050.0,225.91397849462365,0.0,105050.0,False,225.91397849462365,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,105050.0,0.0,0.0,0.0
finish_0088,the abolition of man,2023-12-23,the abolition of man,1,False,,,Literature,C. S. Lewis,1.25,75.0,1.25,0.0,0.0,,2,2022-06-02,2023-12-24,117.0,golden_master_multi_source.csv,275.0,32175.0,429.0,0.0,32175.0,False,429.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,32175.0,0.0,0.0,0.0
finish_0089,The Man Who Was Thursday,2024-01-20,the man who was Thursday,1,False,,,Literature,G. K. Chesterton,2.75,165.0,2.75,0.0,0.0,,4,2024-01-17,2024-01-20,162.0,golden_master_multi_source.csv,275.0,44550.0,270.0,0.0,44550.0,False,270.0,pages_over_total_calendar_time,1285,0,23,0,190.0,The Man Who Was Thursday,Notes from _The Man Who Was Thursday_.docx,ref_to_finished_title,medium,Play Books max highlighted page modestly exceeds metadata pages,high,specific calendar matches and plausible speed,medium,False,False,True,True,44550.0,288.43995510662177,0.0,14.19753086419753
finish_0092,How to win friends and influence people,2024-02-23,how to win friends and influence people,1,False,,,"Business, management",Dale Carnegie,4.75,285.0,4.75,0.0,0.0,,9,2023-08-26,2024-02-22,276.0,golden_master_multi_source.csv,275.0,75900.0,266.3157894736842,0.0,75900.0,False,266.3157894736842,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,75900.0,0.0,0.0,0.0
finish_0093,Tremendous Trifles,2024-03-01,tremendous trifles,1,False,,,Literature,G. K. Chesterton,1.0,60.0,1.0,0.0,0.0,,3,2024-01-31,2024-03-01,142.0,golden_master_multi_source.csv,275.0,39050.0,650.8333333333334,0.0,39050.0,False,650.8333333333334,pages_over_total_calendar_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",medium,manual audit: local text implies more words than metadata pages,medium,some generic temporal calendar matching; high WPM suggests possible missing sessions,medium,False,False,True,True,39050.0,0.0,0.0,0.0
finish_0094,Jude the Obscure,2024-03-08,Jude the obscure,1,False,,,Literature,Thomas Hardy,8.5,510.0,8.5,0.0,0.0,,7,2024-03-03,2024-03-08,240.0,golden_master_multi_source.csv,275.0,66000.0,129.41176470588235,0.0,66000.0,False,129.41176470588235,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,66000.0,0.0,0.0,0.0
finish_0095,A Connecticut Yankee in King Arthur’s Court,2024-03-12,cyikac,1,False,,,Literature,Mark Twain,4.75,285.0,4.75,0.0,0.0,,5,2022-10-26,2024-03-12,397.0,golden_master_multi_source.csv,275.0,109175.0,383.0701754385965,0.0,109175.0,False,383.0701754385965,pages_over_total_calendar_time,3665,102,63,6,369.0,A Connecticut Yankee in King Arthur’s Court,Notes from _A Connecticut Yankee in King Arthur’s Court_.docx,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,109175.0,335.69956491870846,9.342798259674835,15.869017632241814
finish_0100,the world of null-a,2024-05-04,the world of null a,1,False,,,fiction,A. E. van Vogt,2.0,120.0,2.0,0.0,0.0,,3,2024-05-04,2024-05-04,221.0,golden_master_multi_source.csv,275.0,60775.0,506.4583333333333,0.0,60775.0,False,506.4583333333333,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,60775.0,0.0,0.0,0.0
finish_0104,consider phlebas,2024-06-04,consider phlebas,1,False,,,fiction,Iain M. Banks,8.75,525.0,8.75,0.0,0.0,,12,2024-05-16,2024-06-03,471.0,golden_master_multi_source.csv,275.0,129525.0,246.71428571428572,0.0,129525.0,False,246.71428571428572,pages_over_total_calendar_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",high,metadata page count present and no local contradiction found,medium,some generic temporal calendar matching,medium,False,False,True,True,129525.0,0.0,0.0,0.0
finish_0107,Just for Fun : The Story of an Accidental Revolutionary,2024-07-13,just for fun,1,False,,,"Business, management",Linus Torvalds,3.3333333333333335,200.0,3.3333333333333335,0.0,0.0,,5,2024-06-30,2024-07-10,275.0,golden_master_multi_source.csv,275.0,75625.0,378.125,0.0,75625.0,False,378.125,pages_over_total_calendar_time,7951,102,111,12,258.0,Just for Fun : The Story of an Accidental Revolutionary,Notes from _Just for Fun _ The Story of an Accidental Revolutionary_.docx,"generic_temporal, ref_to_finished_title",high,metadata page count present and no local contradiction found,medium,some generic temporal calendar matching,medium,False,False,True,True,75625.0,1051.3719008264463,13.487603305785123,40.36363636363636
finish_0111,there is no anti-memetic division,2024-08-24,there is no anti-memetic division,1,False,,,fiction,qntm,2.0,120.0,2.0,0.0,0.0,,1,2024-08-24,2024-08-24,253.0,golden_master_multi_source.csv,275.0,69575.0,579.7916666666666,0.0,69575.0,False,579.7916666666666,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,medium,only one matched session,medium,False,False,True,True,69575.0,0.0,0.0,0.0
finish_0114,A Supposedly Fun Thing I'll Never Do Again,2024-09-04,A supposedly fun thing I'll never do again,1,False,,,General Reading,David Foster Wallace,5.5,330.0,5.5,0.0,0.0,,5,2024-08-30,2024-09-04,353.0,golden_master_multi_source.csv,275.0,97075.0,294.1666666666667,0.0,97075.0,False,294.1666666666667,pages_over_total_calendar_time,9021,38,95,4,371.0,A Supposedly Fun Thing I'll Never Do Again,Notes from _A Supposedly Fun Thing I_ll Never Do Again_.docx,"generic_temporal, ref_to_finished_title",high,metadata page count present and no local contradiction found,medium,some generic temporal calendar matching,medium,False,False,True,True,97075.0,929.2814833891321,3.914499098635076,26.912181303116146
finish_0115,The Oxford Book of Short Stories,2024-09-14,the oxford book of short stories,1,False,,,Literature,V. S. Pritchett,12.5,750.0,12.5,0.0,0.0,,20,2024-08-07,2024-09-13,547.0,golden_master_multi_source.csv,275.0,150425.0,200.56666666666666,0.0,150425.0,False,200.56666666666666,pages_over_total_calendar_time,4537,0,67,0,639.0,The Oxford Book of Short Stories,Notes from _The Oxford Book of Short Stories_.docx,ref_to_finished_title,medium,Play Books max highlighted page modestly exceeds metadata pages,high,specific calendar matches and plausible speed,medium,False,False,True,True,150425.0,301.6120990526841,0.0,12.248628884826324
finish_0116,Red Plenty,2024-09-19,red plenty,1,False,,,General Reading,Francis Spufford,9.75,585.0,9.75,0.0,0.0,,9,2024-09-17,2024-09-19,434.0,golden_master_multi_source.csv,275.0,119350.0,204.01709401709402,0.0,119350.0,False,204.01709401709402,pages_over_total_calendar_time,14255,52,172,4,430.0,Red Plenty,Notes from _Red Plenty_.docx,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,119350.0,1194.386258902388,4.356933389191454,39.63133640552996
finish_0117,The innocence of Father Brown,2024-09-25,the innocence of father brown,1,False,,,General Reading,G. K. Chesterton,4.0,240.0,4.0,0.0,0.0,,8,2024-06-12,2024-09-24,208.0,golden_master_multi_source.csv,275.0,57200.0,238.33333333333334,0.0,57200.0,False,238.33333333333334,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,57200.0,0.0,0.0,0.0
finish_0126,How to Fail at Almost Everything and Still Win Big,2024-10-30,how to fail at almost everything and still win big,1,False,,,"Business, management",Scott Adams,1.75,105.0,1.75,0.0,0.0,,3,2024-10-22,2024-10-30,248.0,golden_master_multi_source.csv,275.0,68200.0,649.5238095238095,0.0,68200.0,False,649.5238095238095,pages_over_total_calendar_time,6308,138,116,8,273.0,How to Fail at Almost Everything and Still Win Big,Notes from _How to Fail at Almost Everything and Still Win Big_.docx,ref_to_finished_title,medium,Play Books max highlighted page modestly exceeds metadata pages,high,specific calendar matches and plausible speed,medium,False,False,True,True,68200.0,924.9266862170089,20.23460410557185,46.774193548387096
finish_0128,IMPRO Improvisation and the Theatre,2024-11-08,iiatt,1,False,,,General Reading,Keith Johnstone,2.25,135.0,2.25,0.0,0.0,,3,2024-11-01,2024-11-06,208.0,golden_master_multi_source.csv,275.0,57200.0,423.7037037037037,0.0,57200.0,False,423.7037037037037,pages_over_total_calendar_time,7383,102,138,12,232.0,IMPRO Improvisation and the Theatre,Notes from _IMPRO Improvisation and the Theatre_.docx,ref_to_finished_title,medium,Play Books max highlighted page modestly exceeds metadata pages,high,specific calendar matches and plausible speed,medium,False,False,True,True,57200.0,1290.7342657342658,17.832167832167833,66.34615384615384
finish_0131,"Declare_ A novel - Powers, Tim.pdf",2024-11-28,declare,1,False,,,fiction,Tim Powers,4.5,270.0,4.5,0.0,0.0,,4,2024-11-20,2024-11-24,528.0,golden_master_multi_source.csv,275.0,145200.0,537.7777777777778,0.0,145200.0,False,537.7777777777778,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,145200.0,0.0,0.0,0.0
finish_0133,machine learning engineering,2024-12-12,machine learning engineering,1,False,,,Machine Learning,Andriy Burkov,2.9166666666666665,175.0,2.9166666666666665,0.0,0.0,,5,2024-12-01,2024-12-11,301.0,golden_master_multi_source.csv,275.0,82775.0,473.0,0.0,82775.0,False,473.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,82775.0,0.0,0.0,0.0
finish_0138,Apollo: The Race to the Moon,2025-01-01,Apollo,1,False,,,"Business, management",Charles Murray,7.5,450.0,7.5,0.0,0.0,,3,2024-12-30,2024-12-31,512.0,golden_master_multi_source.csv,275.0,140800.0,312.8888888888889,0.0,140800.0,False,312.8888888888889,pages_over_total_calendar_time,31523,392,421,48,588.0,Apollo: The Race to the Moon,Notes from _Apollo_ The Race to the Moon_.docx,ref_to_finished_title,medium,Play Books max highlighted page modestly exceeds metadata pages,high,specific calendar matches and plausible speed,medium,False,False,True,True,140800.0,2238.8494318181815,27.840909090909093,82.2265625
finish_0140,parkinson's law,2025-01-14,parkinson's law,1,False,,,"Business, management",Cyril Northcote Parkinson,1.0,60.0,1.0,0.0,0.0,,1,2025-01-14,2025-01-14,140.0,golden_master_multi_source.csv,275.0,38500.0,641.6666666666666,0.0,38500.0,False,641.6666666666666,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,medium,manual audit: possible edition mismatch,medium,only one matched session,medium,False,False,True,True,38500.0,0.0,0.0,0.0
