finish_id,title,finish_date,calendar_finish_ref,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,external_word_count_notes,metadata_page_count,metadata_word_estimate,metadata_source,chosen_word_count,word_count_source,word_count_confidence,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local
finish_0052,starship troopers,2023-06-20,,/Users/clarkbenham/side_projects/data/Books/Starship Troopers Robert A. Heinlein - (1987).pdf,100.0,Starship Troopers Robert A. Heinlein - (1987).pdf,86699.0,86699.0,0.0,pdf_repeated_header_footer_body_pages,,52000.0,https://www.readinglength.com/book/BstO0A6,ReadingLength online-search estimate; rough guess.,233.0,64075.0,golden_master_multi_source.csv,86699.0,local_file_word_count,high,-34699.0,-0.40022376267315657,0.40022376267315657
finish_0053,Stranger in a Strange Land,2023-07-05,,/Users/clarkbenham/side_projects/data/Books/Stranger in a strange land -Robert A. Heinlein - Ace Books (1961).pdf,90.0,Stranger in a Strange Land,167906.0,170584.0,2678.0,pdf_repeated_header_footer_body_pages,,109500.0,https://www.readinglength.com/book/BtRmrhy,ReadingLength online-search estimate; rough guess.,438.0,120450.0,golden_master_multi_source.csv,167906.0,local_file_word_count,high,-58406.0,-0.34784939192167047,0.34784939192167047
finish_0054,Bone,2023-07-14,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0055,The Moon Is A Harsh Mistress,2023-07-26,,/Users/clarkbenham/side_projects/data/Books/The Moon Is a Harsh Mistress - Robert A. Heinlein - (1987).pdf,100.0,The Moon Is a Harsh Mistress - Robert A. Heinlein - (1987).pdf,120469.0,120469.0,0.0,pdf_repeated_header_footer_body_pages,,95500.0,https://www.readinglength.com/book/BKfozRz,ReadingLength online-search estimate; rough guess.,360.0,99000.0,golden_master_multi_source.csv,120469.0,local_file_word_count,high,-24969.0,-0.20726493952801137,0.20726493952801137
finish_0056,Essays to Do Good,2023-08-05,,,0.0,,,,,,,,,,,,golden_master_multi_source.csv,,,low,,,
finish_0057,Player of Games,2023-08-17,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Player of Games/The Player of Games.epub,100.0,The Player of Games.html,116409.0,116433.0,24.0,epub_spine_body_sections,,,,,320.0,88000.0,golden_master_multi_source.csv,116409.0,local_file_word_count,high,,,
finish_0058,King Solomons Mines,2023-08-23,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0059,The Peace War,2023-08-29,,,0.0,,,,,,,,,,311.0,85525.0,golden_master_multi_source.csv,85525.0,metadata_pages_x_words_per_page,medium,,,
finish_0060,The Sun Also Rises,2023-10-04,,,0.0,,,,,,,,,,247.0,67925.0,golden_master_multi_source.csv,67925.0,metadata_pages_x_words_per_page,medium,,,
finish_0061,Harry Potter and the Methods of Rationality,2023-10-25,,,0.0,,,,,,,,,,1967.0,540925.0,golden_master_multi_source.csv,540925.0,metadata_pages_x_words_per_page,medium,,,
