finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish
finish_0088,what is man and other essays,2024-08-07,75.0,75.0,75.0,60.0,60.0,60.0,0.0,0.0,0.0,15.0,15.0,15.0,2,2024-08-07,2024-08-07,75.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0089,essay: tausf,2024-08-18,45.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,1,2024-08-18,2024-08-18,45.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0090,there is no anti-memetic division,2024-08-24,180.0,180.0,180.0,120.0,120.0,120.0,0.0,0.0,0.0,60.0,60.0,60.0,2,2024-08-24,2024-08-24,180.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0091,consider the lobster,2024-08-27,427.5,435.0,435.0,322.5,330.0,330.0,0.0,0.0,0.0,105.0,105.0,105.0,5,2024-08-26,2024-08-27,435.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0092,the last interview,2024-08-28,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,1,2024-08-28,2024-08-28,60.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0093,A Supposedly Fun Thing I'll Never Do Again,2024-09-04,285.0,375.0,375.0,210.0,300.0,300.0,0.0,0.0,0.0,75.0,75.0,75.0,5,2024-09-03,2024-09-04,375.0,calendar_analysis_duration_with_compatible_overlap_restored,90.0,90.0,1,False,,
finish_0094,The Oxford Book of Short Stories,2024-09-14,742.0916666666667,795.0,795.0,712.0916666666667,765.0,765.0,0.0,0.0,0.0,30.0,30.0,30.0,22,2024-08-08,2024-09-14,795.0,calendar_analysis_duration_with_compatible_overlap_restored,52.9083333333333,52.9083333333333,1,False,,
finish_0095,Red Plenty,2024-09-19,600.0,600.0,600.0,585.0,585.0,585.0,0.0,0.0,0.0,15.0,15.0,15.0,10,2024-09-17,2024-09-19,600.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0096,The innocence of Father Brown,2024-09-25,255.0,255.0,255.0,240.0,240.0,240.0,0.0,0.0,0.0,15.0,15.0,15.0,9,2024-06-12,2024-09-25,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0097,hitlers uranium club,2024-10-02,382.5,390.0,390.0,367.5,375.0,375.0,0.0,0.0,0.0,15.0,15.0,15.0,8,2024-08-08,2024-10-02,390.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0098,Brief Interviews with Hideous Men,2024-10-09,397.5,420.0,397.5,382.5,405.0,382.5,0.0,0.0,0.0,15.0,15.0,15.0,10,2024-09-14,2024-10-09,397.5,calendar_analysis_duration_with_compatible_overlap_restored,22.5,0.0,1,False,,
finish_0099,the religion war,2024-10-09,150.0,150.0,150.0,105.0,105.0,105.0,0.0,0.0,0.0,45.0,45.0,45.0,2,2024-10-09,2024-10-09,150.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0100,self help is like a vaccine,2024-10-11,82.5,90.0,90.0,67.5,75.0,75.0,0.0,0.0,0.0,15.0,15.0,15.0,2,2024-10-10,2024-10-11,90.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
