finish_id,title,matched_finish_date,first_pass_raw_minutes,first_pass_busy_adjusted_minutes,first_pass_adjusted_minutes,reading_raw_minutes,reading_busy_adjusted_minutes,reading_adjusted_minutes,audiobook_raw_minutes,audiobook_busy_adjusted_minutes,audiobook_adjusted_minutes,finished_raw_minutes,finished_busy_adjusted_minutes,finished_adjusted_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,busy_overlap_delta_minutes,strict_overlap_delta_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_error,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_raw,wpm_first_pass_busy_adjusted,wpm_first_pass_strict_adjusted,wpm_reading_only_raw,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_screened_speed,speed_screen_exclusion_reason
finish_0080,The Peace War,2023-08-29,255.0,232.5,232.5,0.0,0.0,0.0,0.0,0.0,0.0,255.0,232.5,232.5,1,2023-08-29,2023-08-29,255.0,raw_calendar_duration_sum,22.5,22.5,1,False,,,85525.0,metadata_pages_x_words_per_page,medium,,,311.0,85525.0,fiction,0,0,0,335.3921568627451,335.3921568627451,367.8494623655914,367.8494623655914,inf,0.0,2023,True,False,True,
finish_0081,The sun also rises,2023-10-04,225.0,202.5,202.5,165.0,142.5,142.5,0.0,0.0,0.0,60.0,60.0,60.0,6,2023-09-24,2023-10-04,225.0,raw_calendar_duration_sum,22.5,22.5,1,False,,,67925.0,metadata_pages_x_words_per_page,medium,,,247.0,67925.0,Literature,1176,28,0,301.8888888888889,301.8888888888889,335.4320987654321,335.4320987654321,411.6666666666667,173.13213102686788,2023,True,False,True,
finish_0082,hpmor,2023-10-25,1590.0,1537.5,1535.0,1200.0,1155.0,1152.5,0.0,0.0,0.0,390.0,382.5,382.5,9,2023-10-21,2023-10-25,1590.0,raw_calendar_duration_sum,52.5,55.0,1,False,,,540925.0,metadata_pages_x_words_per_page,medium,,,1967.0,540925.0,fiction,1831,53,72,340.20440251572325,340.20440251572325,351.8211382113821,352.3941368078176,450.7708333333333,33.849424596755554,2023,True,False,True,
finish_0083,3 men in a boat,2023-11-08,285.0,277.5,277.5,180.0,180.0,180.0,0.0,0.0,0.0,105.0,97.5,97.5,5,2023-11-08,2023-11-08,285.0,raw_calendar_duration_sum,7.5,7.5,1,False,,,50600.0,metadata_pages_x_words_per_page,medium,,,184.0,50600.0,Literature,900,21,0,177.5438596491228,177.5438596491228,182.34234234234233,182.34234234234233,281.1111111111111,177.86561264822134,2023,True,False,True,
finish_0084,out of the silent planet,2023-12-05,225.0,210.0,210.0,165.0,165.0,165.0,0.0,0.0,0.0,60.0,45.0,45.0,4,2023-11-29,2023-12-05,225.0,raw_calendar_duration_sum,15.0,15.0,1,False,,,57757.0,manual_count:https://www.gutenberg.ca/ebooks/lewiscs-outofthesilentplanet/lewiscs-outofthesilentplanet-00-h.html,high,/Users/clarkbenham/Documents/Books/eleven_upload/Literature/Out of the Silent Planet by CS Lewis.pdf,RuntimeError: pdftotext failed: I/O Error: Couldn't open file '/Users/clarkbenham/Documents/Books/eleven_upload/Literature/Out of the Silent Planet by CS Lewis.pdf': Operation not permitted.,174.0,47850.0,fiction,0,0,0,256.6977777777778,256.6977777777778,275.03333333333336,275.03333333333336,350.04242424242426,0.0,2023,True,True,True,
finish_0085,perelandra,2023-12-10,270.0,247.5,247.5,180.0,157.5,157.5,0.0,0.0,0.0,90.0,90.0,90.0,7,2023-12-06,2023-12-10,270.0,raw_calendar_duration_sum,22.5,22.5,1,False,,,61325.0,metadata_pages_x_words_per_page,medium,,,223.0,61325.0,fiction,0,0,0,227.12962962962962,227.12962962962962,247.77777777777777,247.77777777777777,340.69444444444446,0.0,2023,True,False,True,
finish_0086,that hideous strength,2023-12-14,480.0,360.0,355.0,465.0,345.0,340.0,0.0,0.0,0.0,15.0,15.0,15.0,9,2023-12-11,2023-12-14,480.0,raw_calendar_duration_sum,120.0,125.0,1,False,,,105050.0,metadata_pages_x_words_per_page,medium,,,382.0,105050.0,fiction,0,0,0,218.85416666666666,218.85416666666666,291.80555555555554,295.9154929577465,225.91397849462365,0.0,2023,True,False,True,
finish_0087,the screwtape letters,2023-12-21,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,1,2023-12-21,2023-12-21,120.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,44000.0,metadata_pages_x_words_per_page,medium,,,160.0,44000.0,Literature,6402,130,0,366.6666666666667,366.6666666666667,366.6666666666667,366.6666666666667,inf,1455.0,2023,True,False,True,
finish_0088,the abolition of man,2023-12-23,180.0,97.5,97.5,75.0,45.0,45.0,0.0,0.0,0.0,105.0,52.5,52.5,3,2022-06-02,2023-12-24,180.0,raw_calendar_duration_sum,82.5,82.5,1,False,,,32175.0,metadata_pages_x_words_per_page,medium,,,117.0,32175.0,Literature,0,0,0,178.75,178.75,330.0,330.0,429.0,0.0,2023,True,False,True,
finish_0089,the man who was Thursday,2024-01-20,255.0,247.5,245.0,165.0,157.5,155.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2024-01-17,2024-01-20,255.0,raw_calendar_duration_sum,7.5,10.0,1,False,,,44550.0,metadata_pages_x_words_per_page,medium,,,162.0,44550.0,Literature,1285,23,0,174.7058823529412,174.7058823529412,180.0,181.83673469387756,270.0,288.43995510662177,2024,True,False,True,
finish_0092,How to win friends and influence people,2024-02-23,315.0,262.5,262.5,285.0,232.5,232.5,0.0,0.0,0.0,30.0,30.0,30.0,10,2023-08-26,2024-02-23,315.0,raw_calendar_duration_sum,52.5,52.5,1,False,,,75900.0,metadata_pages_x_words_per_page,medium,,,276.0,75900.0,"Business, management",0,0,0,240.95238095238096,240.95238095238096,289.14285714285717,289.14285714285717,266.3157894736842,0.0,2024,True,False,True,
finish_0094,Jude the obscure,2024-03-08,570.0,420.0,406.25,510.0,390.0,378.75,0.0,0.0,0.0,60.0,30.0,27.5,8,2024-03-03,2024-03-08,570.0,raw_calendar_duration_sum,150.0,163.75,1,False,,,66000.0,metadata_pages_x_words_per_page,medium,,,240.0,66000.0,Literature,0,0,0,115.78947368421052,115.78947368421052,157.14285714285714,162.46153846153845,129.41176470588235,0.0,2024,True,False,True,
finish_0095,A Connecticut Yankee in King Arthur's Court,2024-03-12,345.0,292.5,290.0,285.0,255.0,252.5,0.0,0.0,0.0,60.0,37.5,37.5,6,2022-10-26,2024-03-12,345.0,raw_calendar_duration_sum,52.5,55.0,1,False,,,109175.0,metadata_pages_x_words_per_page,medium,,,397.0,109175.0,Literature,3665,63,102,316.4492753623188,316.4492753623188,373.2478632478632,376.4655172413793,383.0701754385965,335.69956491870846,2024,True,False,True,
