finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,uses_local_file_word_count,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason,estimated_pages_for_density,highlight_count_per_page,my_note_words_per_page
finish_0096,The innocence of Father Brown,2024-09-25,255.0,255.0,255.0,240.0,240.0,240.0,0.0,0.0,0.0,15.0,15.0,15.0,9,2024-06-12,2024-09-25,255.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,83563.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The innocence of Father Brown by G. K. Chesterton.epub,90.0,83563.0,83772.0,209.0,epub_spine_body_sections,,,,208.0,57200.0,,,,General Reading,0.0,0.0,0.0,327.69803921568626,327.69803921568626,327.69803921568626,0.0,255.0,0.0,0.0,83563.0,327.69803921568626,False,348.1791666666667,0.0,2024,True,True,True,True,True,,208.0,0.0,0.0
finish_0098,Brief Interviews with Hideous Men,2024-10-09,397.5,420.0,420.0,382.5,405.0,405.0,0.0,0.0,0.0,15.0,15.0,15.0,10,2024-09-14,2024-10-09,420.0,calendar_analysis_duration_with_gt15m_overlap_restored,22.5,22.5,1,False,,,109804.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Brief Interviews with Hideous Men - Wallace, David Foster (1999).epub",90.0,109804.0,109940.0,136.0,epub_spine_body_sections,,,,281.0,77275.0,,,,Literature,3880.0,47.0,0.0,261.43809523809523,261.43809523809523,261.43809523809523,0.0,420.0,0.0,0.0,109804.0,261.43809523809523,False,287.0692810457516,353.35689045936397,2024,True,True,True,True,True,,281.0,0.16725978647686832,0.0
finish_0100,self help is like a vaccine,2024-10-11,82.5,90.0,82.5,67.5,75.0,67.5,0.0,0.0,0.0,15.0,15.0,15.0,2,2024-10-10,2024-10-11,82.5,calendar_analysis_duration_with_gt15m_overlap_restored,7.5,0.0,1,False,,,34342.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Self-Help Is Like a Vaccine- Essays on Living Better  by Bryan Caplan.epub,90.0,34342.0,34712.0,370.0,epub_spine_body_sections,,,,,,,,,General Reading,4173.0,43.0,392.0,416.26666666666665,381.5777777777778,381.5777777777778,0.0,82.5,0.0,0.0,34342.0,416.26666666666665,False,508.77037037037036,1215.1301613185021,2024,True,True,True,False,False,calendar_time_lte_90_minutes,124.88,0.34433055733504164,3.1390134529147984
finish_0101,the goal,2024-10-12,422.49999999999994,422.49999999999994,422.49999999999994,414.99999999999994,414.99999999999994,414.99999999999994,0.0,0.0,0.0,7.5,7.5,7.5,9,2024-09-21,2024-10-12,422.49999999999994,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,143587.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/The goal_ a process of ongoing improvement  -Eliyahu M. Goldratt, Jeff Cox - North River Press 2004.epub",90.0,143587.0,143785.0,198.0,epub_spine_body_sections,,102000.0,https://www.readinglength.com/work/WbLKyCZ,,,-41587.0,-0.2896292839881048,0.2896292839881048,,0.0,0.0,0.0,339.85088757396454,339.85088757396454,339.85088757396454,0.0,422.49999999999994,0.0,0.0,143587.0,339.85088757396454,False,345.9927710843374,0.0,2024,True,True,True,True,True,,522.1345454545454,0.0,0.0
finish_0103,The Doomsday Machine,2024-10-24,562.5,570.0,562.5,487.5,495.0,487.5,0.0,0.0,0.0,75.0,75.0,75.0,5,2024-10-23,2024-10-24,562.5,calendar_analysis_duration_with_gt15m_overlap_restored,7.5,0.0,1,False,,,139990.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/The Doomsday Machine_ Confessions of a Nuclear War Planner - Daniel Ellsberg -  (2017, Bloomsbury USA).epub",90.0,139990.0,170223.0,30233.0,epub_spine_body_sections,,,,,,,,,"Business, management",22409.0,308.0,422.0,248.8711111111111,245.59649122807016,245.59649122807016,0.0,562.5,0.0,0.0,139990.0,248.8711111111111,False,287.1589743589744,1600.7571969426388,2024,True,True,True,True,True,,509.05454545454546,0.6050432173726694,0.8289877848417744
finish_0105,How to Fail at Almost Everything and Still Win Big,2024-10-31,180.0,210.0,195.0,90.0,105.0,90.0,0.0,0.0,0.0,90.0,105.0,105.0,4,2024-10-22,2024-10-31,195.0,calendar_analysis_duration_with_gt15m_overlap_restored,30.0,15.0,1,False,,,83794.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/How to fail at almost everything and still win big _ kind of the story of my life - Adams, Scott - Penguin Books Ltd_Portfolio_Penguin (2013).epub",90.0,83794.0,88975.0,5181.0,epub_spine_body_sections,,,,248.0,68200.0,,,,"Business, management",6308.0,116.0,138.0,429.7128205128205,399.0190476190476,399.0190476190476,0.0,195.0,0.0,0.0,83794.0,429.7128205128205,False,931.0444444444445,752.7985297276654,2024,True,True,True,True,True,,248.0,0.46774193548387094,0.5564516129032258
finish_0107,IMPRO Improvisation and the Theatre,2024-11-09,165.0,165.0,165.0,135.0,135.0,135.0,0.0,0.0,0.0,30.0,30.0,30.0,4,2024-11-02,2024-11-09,165.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,86008.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Impro_ Improvisation and the Theatre - Keith Johnstone - (2016, Bloomsbury).epub",90.0,86008.0,86272.0,264.0,epub_spine_body_sections,,,,208.0,57200.0,,,,General Reading,7383.0,138.0,102.0,521.260606060606,521.260606060606,521.260606060606,0.0,165.0,0.0,0.0,86008.0,521.260606060606,False,637.0962962962963,858.4085201376616,2024,True,True,True,True,True,,208.0,0.6634615384615384,0.49038461538461536
finish_0108,Downfall,2024-11-17,225.0,225.0,225.0,135.0,135.0,135.0,0.0,0.0,0.0,90.0,90.0,90.0,4,2024-11-15,2024-11-17,225.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,55612.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/ Downfall_ Prigozhin, Putin, and the New Fight for the Future of Russia - Anna Arutunyan_ Mark Galeotti - (2024, Ebury Publishing).epub",82.0,55612.0,66362.0,10750.0,epub_spine_body_sections,,,,,,,,,"Business, management",8168.0,168.0,122.0,247.16444444444446,247.16444444444446,247.16444444444446,0.0,225.0,0.0,0.0,55612.0,247.16444444444446,False,411.94074074074075,1468.7477522836798,2024,True,True,True,True,True,,202.22545454545454,0.8307559519528159,0.6032870603466878
finish_0109,Designing Machine Learning Systems,2024-11-21,225.0,225.0,225.0,90.0,90.0,90.0,0.0,0.0,0.0,135.0,135.0,135.0,2,2024-11-19,2024-11-21,225.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,130648.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Designing Machine Learning Systems_ An Iterative Process for Production-Ready Applications - Chip Huyen -  (2022, O'Reilly Media).epub",90.0,130648.0,137549.0,6901.0,epub_spine_body_sections,,,,386.0,106150.0,,,,Machine Learning,7297.0,175.0,196.0,580.6577777777778,580.6577777777778,580.6577777777778,0.0,225.0,0.0,0.0,130648.0,580.6577777777778,False,1451.6444444444444,558.5236666462556,2024,True,True,True,True,True,,386.0,0.4533678756476684,0.5077720207253886
finish_0110,"Declare_ A novel - Powers, Tim.pdf",2024-11-28,532.5,540.0,532.5,262.5,270.0,262.5,0.0,0.0,0.0,270.0,270.0,270.0,5,2024-11-21,2024-11-28,532.5,calendar_analysis_duration_with_gt15m_overlap_restored,7.5,0.0,1,False,,,212326.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Declare_ A novel - Powers, Tim.pdf",100.0,212326.0,212506.0,180.0,pdf_repeated_header_footer_body_pages,,,,528.0,145200.0,,,,fiction,0.0,0.0,0.0,398.73427230046946,393.1962962962963,393.1962962962963,0.0,532.5,0.0,0.0,212326.0,398.73427230046946,False,808.8609523809524,0.0,2024,True,True,True,True,True,,528.0,0.0,0.0
