finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,uses_local_file_word_count,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0021,screwtape letters,2022-05-14,195.0,195.0,195.0,75.0,75.0,75.0,0.0,0.0,0.0,120.0,120.0,120.0,2,2022-05-13,2022-05-14,195.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,31129.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Screwtape Letters/The Screwtape Letters.epub,100.0,The Screwtape Letters.html,31129.0,31324.0,195.0,epub_spine_body_sections,,40000.0,https://www.readinglength.com/work/WPCt7r2,160.0,44000.0,8871.0,0.2849754248449998,0.2849754248449998,Literature,6402.0,130.0,0.0,159.63589743589745,159.63589743589745,159.63589743589745,0.0,195.0,0.0,0.0,31129.0,159.63589743589745,False,415.05333333333334,2056.6031674644223,2022,True,True,True,True,True,
finish_0022,Arnold Schwarzenegger,2022-05-16,157.5,165.0,157.5,60.0,60.0,60.0,0.0,0.0,0.0,97.5,105.0,97.5,2,2022-05-15,2022-05-16,157.5,calendar_analysis_duration_with_gt15m_overlap_restored,7.5,0.0,1,False,,,65649.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Arnold Schwarzenegger, Douglas Kent Hall - Arnold_/Arnold Schwarzenegger, Douglas Kent Hall - Arno.pdf",90.0,Arnold Schwarzenegger,65649.0,66276.0,627.0,pdf_repeated_header_footer_body_pages,,,,256.0,70400.0,,,,General Reading,0.0,0.0,0.0,416.81904761904764,397.8727272727273,397.8727272727273,0.0,157.5,0.0,0.0,65649.0,416.81904761904764,False,1094.15,0.0,2022,True,True,True,True,True,
finish_0023,SQL,2022-05-25,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,1,2022-05-25,2022-05-25,30.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,99534.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Learning_SQL Alan_Beaulieu-EN/Learning_SQL Alan_Beaulieu-EN.pdf,82.0,SQL,99534.0,102707.0,3173.0,pdf_repeated_header_footer_body_pages,,,,,,,,,,0.0,0.0,0.0,3317.8,3317.8,3317.8,0.0,30.0,0.0,0.0,99534.0,3317.8,False,inf,0.0,2022,True,True,True,False,False,calendar_time_lte_90_minutes
finish_0024,An Experiment in Criticism,2022-06-02,165.0,165.0,165.0,75.0,75.0,75.0,0.0,0.0,0.0,90.0,90.0,90.0,3,2022-06-01,2022-06-02,165.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,36314.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/An Experiment in Criticism/An Experiment in Criticism.epub,100.0,An Experiment in Criticism,36314.0,36731.0,417.0,epub_spine_body_sections,,,,133.0,36575.0,,,,Literature,0.0,0.0,0.0,220.0848484848485,220.0848484848485,220.0848484848485,0.0,165.0,0.0,0.0,36314.0,220.0848484848485,False,484.18666666666667,0.0,2022,True,True,True,True,True,
finish_0025,Talent,2022-06-03,285.0,285.0,285.0,255.0,255.0,255.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2022-05-21,2022-06-03,285.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,79200.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,,,,,288.0,79200.0,,,,"Business, management",0.0,0.0,0.0,277.89473684210526,277.89473684210526,277.89473684210526,0.0,285.0,0.0,0.0,79200.0,277.89473684210526,False,310.5882352941176,0.0,2022,False,False,False,False,False,
finish_0026,Coders at Work,2022-06-05,645.0,645.0,645.0,555.0,555.0,555.0,0.0,0.0,0.0,90.0,90.0,90.0,12,2022-01-13,2022-06-05,645.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,241542.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/Peter Seibel - Coders at Work_ Reflections on the /Peter Seibel - Coders at Work_ Reflections on t.pdf,90.0,Coders at Work,241542.0,242899.0,1357.0,pdf_repeated_header_footer_body_pages,,,,617.0,169675.0,,,,"Business, management",0.0,0.0,0.0,374.48372093023255,374.48372093023255,374.48372093023255,0.0,645.0,0.0,0.0,241542.0,374.48372093023255,False,435.2108108108108,0.0,2022,True,True,True,True,True,
finish_0027,Power: Why Some People Have Itand Others Don't,2022-06-20,345.0,345.0,345.0,270.0,270.0,270.0,0.0,0.0,0.0,75.0,75.0,75.0,7,2022-06-05,2022-06-20,345.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,82279.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Power_ Why Some People Have Itand Others Don_t/Power_ Why Some People Have Itand Others Don_t.epub,100.0,Power_ Why Some People Have Itand Others Don_t.html,82279.0,83777.0,1498.0,epub_spine_body_sections,,,,,,,,,"Business, management",0.0,0.0,0.0,238.48985507246377,238.48985507246377,238.48985507246377,0.0,345.0,0.0,0.0,82279.0,238.48985507246377,False,304.73703703703706,0.0,2022,True,True,True,True,True,
finish_0028,wb,2022-08-13,195.0,195.0,195.0,180.0,180.0,180.0,0.0,0.0,0.0,15.0,15.0,15.0,10,2022-07-30,2022-08-13,195.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,195.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
finish_0029,ML design patterns,2022-08-22,1140.0,1170.0,1140.0,1110.0,1140.0,1110.0,0.0,0.0,0.0,30.0,30.0,30.0,34,2022-05-25,2022-08-24,1140.0,calendar_analysis_duration_with_gt15m_overlap_restored,30.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,1140.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
finish_0030,good research code,2022-09-09,75.0,75.0,75.0,30.0,30.0,30.0,0.0,0.0,0.0,45.0,45.0,45.0,2,2022-09-08,2022-09-09,75.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,16500.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,,,,,60.0,16500.0,,,,"Business, management",0.0,0.0,0.0,220.0,220.0,220.0,0.0,75.0,0.0,0.0,16500.0,220.0,False,550.0,0.0,2022,False,False,False,False,False,
