finish_id,title,source_type,source,word_count,status,error,notes
finish_0186,it's better to be feared,local_file,"/Users/clarkbenham/side_projects/data/Books/It's Better to Be Feared_ The New England Patriots Dynasty and the Pursuit of Greatness - Seth Wickersham - (2021, Liveright).epub",193830,ok,,
finish_0187,the effective executive,local_file,"/Users/clarkbenham/side_projects/data/Books/The Effective Executive_ The Definitive Guide to Getting the Right Things Done - Peter F. Drucker, Jim Collins - (2017, HarperBusiness).epub",66884,ok,,
finish_0188,the best and brightest,local_file,"/Users/clarkbenham/side_projects/data/Books/The Best and the Brightest - David Halberstam - (2001, Modern Library).epub",352433,ok,,
finish_0189,good omens,local_file,"/Users/clarkbenham/side_projects/data/Books/Good Omens - Pratchett, Terry _ Gaiman, Neil.pdf",108262,ok,,
finish_0190,prime movers of globalization,local_file,"/Users/clarkbenham/side_projects/data/Books/eleven_upload/Business, management/Prime Movers of Globalization.epub",89140,ok,,
finish_0191,shoe dog,local_file,"/Users/clarkbenham/side_projects/data/Books/Shoe Dog_ A Memoir by the Creator of Nike - Nike (Firm)_Knight, Philip H - (2018_2016, Scribner).epub",126187,ok,,
finish_0192,the billionaire and the mechanic,local_file,"/Users/clarkbenham/side_projects/data/Books/The billionaire and the mechanic_ how Larry Ellison and a car mechanic teamed up to win sailing's greatest race, the America's -  Bajurin, Norbert_Ellison, Larry_Guthrie, Julian - (2014, Grove Atlantic_Grove Press).epub",142997,ok,,
finish_0194,memos from the chairman,local_file,"/Users/clarkbenham/side_projects/data/Books/Memos from the Chairman - Alan C. Greenberg - (2016, Workman Publishing).epub",32590,ok,,
finish_0195,night watch,local_file,"/Users/clarkbenham/side_projects/data/Books/Night Watch [Discworld 29 ] - Terry, Pratchett (2010).epub",114186,ok,,
finish_0197,fall of Hyperion,local_file,"/Users/clarkbenham/side_projects/data/Books/Hyperion Cantos [02] - The Fall of Hyperion - [Hyperion Cantos _2] Simmons, Dan - (1990, Spectra).epub",190753,ok,,
finish_0198,thoughts and adventures,local_file,/Users/clarkbenham/side_projects/data/Books/Thoughts and Adventures by Winston Churchill.epub,86189,ok,,
finish_0199,my early life,local_file,/Users/clarkbenham/side_projects/data/Books/My Early Life  1872 to 1904 - Churchill.epub,124256,ok,,
finish_0201,Churchill: Walking with Destiny,local_file,"/Users/clarkbenham/side_projects/data/Books/Churchill_ Walking with Destiny - Andrew Roberts - (2018, Allen Lane).epub",513344,ok,,
finish_0202,churchill the power of words,local_file,"/Users/clarkbenham/side_projects/data/Books/Churchill _ the power of words _ his remarkable life recounted through his writings and speeches _ 200 readings - Churchill, Winston S_ Gilbert, Martin (Editor) - (2014, Da Capo Press_Bantam Press).epub",175294,ok,,
finish_0203,the nvidia way,local_file,"/Users/clarkbenham/side_projects/data/Books/The Nvidia Way_ Jensen Huang and the Making of a Tech Giant - Tae Kim - (2024, W. W. Norton & Company).epub",86380,ok,,
finish_0204,managing the professional services firm,local_file,"/Users/clarkbenham/side_projects/data/Books/Managing the professional service firm - Maister, David H. - (2014, Free Press).epub",118025,ok,,
