event_type,book_ref,events,first_date,last_date,wall_clock_minutes,calendar_analysis_minutes,classification,best_candidate_score,best_candidate_finish_date,best_candidate_title,best_candidate_ref,days_from_last_event_to_candidate_finish
reading,Rust,3,2023-06-21,2023-06-23,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,hmtscfalol,1,2025-11-17,2025-11-17,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,apgte,1,2024-08-24,2024-08-24,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,calc3,1,2024-03-18,2024-03-18,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,bfa,2,2023-05-17,2023-05-17,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,thmp,2,2024-11-30,2024-11-30,60.0,52.5,no_finished_book_candidate_found,,,,,
reading,tiobe,1,2022-12-12,2022-12-12,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,tlp,1,2023-04-02,2023-04-02,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,chekhov,1,2021-06-20,2021-06-20,60.0,60.0,no_finished_book_candidate_found,,,,,
reading,aos,4,2025-04-08,2025-05-15,52.5,52.5,no_finished_book_candidate_found,,,,,
reading,ings,2,2024-04-15,2025-01-31,52.5,52.5,no_finished_book_candidate_found,,,,,
reading,podcasts,1,2024-11-13,2024-11-13,45.0,37.5,no_finished_book_candidate_found,,,,,
reading,nfu,2,2024-04-17,2024-04-18,45.0,45.0,no_finished_book_candidate_found,,,,,
audiobook,ootc,1,2026-04-23,2026-04-23,45.0,22.5,no_finished_book_candidate_found,,,,,
audiobook,tab,1,2025-11-11,2025-11-11,45.0,22.5,no_finished_book_candidate_found,,,,,
reading,ml papers,1,2023-09-12,2023-09-12,45.0,45.0,no_finished_book_candidate_found,,,,,
audiobook,speeches,1,2026-02-13,2026-02-13,45.0,22.5,no_finished_book_candidate_found,,,,,
started,Iacocca an autobiography,1,2026-05-13,2026-05-13,45.0,22.5,no_finished_book_candidate_found,,,,,
reading,pr,1,2023-05-15,2023-05-15,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,matricies,1,2024-04-05,2024-04-05,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,Kaplan,2,2022-12-21,2022-12-22,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,syfj,1,2023-03-01,2023-03-01,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,lw for spar,1,2024-04-01,2024-04-01,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,lmam,1,2023-03-18,2023-03-18,45.0,45.0,no_finished_book_candidate_found,,,,,
audiobook,tef,1,2026-01-11,2026-01-11,45.0,30.0,no_finished_book_candidate_found,,,,,
reading,lkd,3,2025-02-05,2025-02-20,45.0,37.5,no_finished_book_candidate_found,,,,,
reading,trip: rafting,1,2024-05-24,2024-05-24,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,linear algebra,1,2024-01-25,2024-01-25,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,hpmor,1,2023-10-30,2023-10-30,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,rate,1,2025-01-06,2025-01-06,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,Probability Theory the Logic of Science,1,2021-12-14,2021-12-14,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,tssojc,1,2025-12-11,2025-12-11,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,hemingway,1,2024-04-19,2024-04-19,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,asaj,1,2022-03-30,2022-03-30,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,Trading At the speed of Light,1,2021-09-06,2021-09-06,45.0,45.0,no_finished_book_candidate_found,,,,,
reading,twain,1,2024-06-09,2024-06-09,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,tmbp notes,1,2025-04-30,2025-04-30,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,run bookworm,1,2023-09-30,2023-09-30,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,tabs,1,2024-09-14,2024-09-14,30.0,30.0,no_finished_book_candidate_found,,,,,
started,out of the crisis,1,2026-04-19,2026-04-19,30.0,15.0,no_finished_book_candidate_found,,,,,
reading,toboss,1,2025-02-22,2025-02-22,30.0,15.0,no_finished_book_candidate_found,,,,,
reading,rayleigh,1,2023-01-16,2023-01-16,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,tsl,1,2025-02-28,2025-02-28,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,sdff,1,2022-04-06,2022-04-06,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,y: prml,1,2022-08-30,2022-08-30,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,tc,1,2025-02-06,2025-02-06,30.0,22.5,no_finished_book_candidate_found,,,,,
reading,wwlc,1,2022-03-28,2022-03-28,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,wiki on,1,2025-09-23,2025-09-23,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,taoosa,1,2025-01-06,2025-01-06,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,tsojc,1,2025-01-30,2025-01-30,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,wh,1,2025-12-05,2025-12-05,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,wdycwopy,1,2023-02-26,2023-02-26,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,puskin,2,2022-09-06,2022-09-08,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,quotes,1,2026-04-09,2026-04-09,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,past sheet notes,1,2025-01-08,2025-01-08,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,lavep,1,2024-10-13,2024-10-13,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,cm,1,2024-03-19,2024-03-19,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,itbtbf,1,2026-01-24,2026-01-24,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,diaspora,1,2023-04-09,2023-04-09,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,DSWM,1,2021-11-12,2021-11-12,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,Docker,1,2022-05-25,2022-05-25,30.0,30.0,no_finished_book_candidate_found,,,,,
reading,hmp,1,2024-11-30,2024-11-30,30.0,30.0,no_finished_book_candidate_found,,,,,
