finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_word_count,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0044,Piccadilly Jim,2023-01-24,315.0,315.0,315.0,240.0,240.0,240.0,0.0,0.0,0.0,75.0,75.0,75.0,5,2023-01-19,2023-01-24,315.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,75350.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,274.0,75350.0,Literature,637.0,20.0,0.0,239.20634920634922,239.20634920634922,239.20634920634922,0.0,315.0,0.0,0.0,75350.0,239.20634920634922,False,313.9583333333333,84.53881884538819,2023,True,False,True,True,
finish_0047,surely you’re joking Feynman,2023-03-01,368.0,375.0,375.0,323.0,330.0,330.0,0.0,0.0,0.0,45.0,45.0,45.0,5,2023-02-28,2023-03-01,375.0,calendar_analysis_duration_with_compatible_overlap_restored,7.0,7.0,1,False,,,96800.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,352.0,96800.0,General Reading,0.0,0.0,0.0,258.1333333333333,258.1333333333333,258.1333333333333,0.0,375.0,0.0,0.0,96800.0,258.1333333333333,False,299.6904024767802,0.0,2023,True,False,True,True,
finish_0049,Full Faith and Credit,2023-04-24,450.0,450.0,450.0,375.0,375.0,375.0,0.0,0.0,0.0,75.0,75.0,75.0,7,2023-04-16,2023-04-24,450.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,82500.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,300.0,82500.0,"Business, management",0.0,0.0,0.0,183.33333333333334,183.33333333333334,183.33333333333334,0.0,450.0,0.0,0.0,82500.0,183.33333333333334,False,220.0,0.0,2023,True,False,True,True,
finish_0052,starship troopers,2023-06-20,174.99999999999997,285.0,174.99999999999997,75.0,75.0,75.0,0.0,0.0,0.0,99.99999999999996,210.0,99.99999999999996,3,2023-06-12,2023-06-20,174.99999999999997,calendar_analysis_duration_with_compatible_overlap_restored,110.00000000000004,0.0,1,False,,,86665.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Starship Troopers Robert A. Heinlein - (1987).pdf,90.0,86665.0,,,,233.0,64075.0,fiction,0.0,0.0,0.0,495.2285714285715,304.0877192982456,304.0877192982456,0.0,174.99999999999997,0.0,0.0,86665.0,495.2285714285715,False,1155.5333333333333,0.0,2023,True,True,True,True,
finish_0053,Stranger in a Strange Land,2023-07-05,592.5,675.0,600.0,442.5,525.0,450.0,0.0,0.0,0.0,150.0,150.0,150.0,10,2023-07-02,2023-07-05,600.0,calendar_analysis_duration_with_compatible_overlap_restored,82.5,7.5,1,False,,,169473.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Stranger in a strange land -Robert A. Heinlein - Ace Books (1961).pdf,90.0,169473.0,,,,438.0,120450.0,fiction,2371.0,66.0,0.0,282.455,251.07111111111112,251.07111111111112,0.0,600.0,0.0,0.0,169473.0,282.455,False,382.9898305084746,139.9042915390652,2023,True,True,True,True,
finish_0055,The Moon Is A Harsh Mistress,2023-07-26,435.0,435.0,435.0,330.0,330.0,330.0,0.0,0.0,0.0,105.0,105.0,105.0,4,2023-07-25,2023-07-26,435.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,120394.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Moon Is a Harsh Mistress - Robert A. Heinlein - (1987).pdf,90.0,120394.0,,,,360.0,99000.0,fiction,0.0,0.0,0.0,276.76781609195405,276.76781609195405,276.76781609195405,0.0,435.0,0.0,0.0,120394.0,276.76781609195405,False,364.830303030303,0.0,2023,True,True,True,True,
finish_0057,Player of Games,2023-08-17,420.0,420.0,420.0,225.0,225.0,225.0,0.0,0.0,0.0,195.0,195.0,195.0,5,2023-08-14,2023-08-17,420.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,116433.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Player of Games - Iain M. Banks - Orbit (2008).epub,90.0,116433.0,,,,320.0,88000.0,fiction,1754.0,50.0,76.0,277.2214285714286,277.2214285714286,277.2214285714286,0.0,420.0,0.0,0.0,116433.0,277.2214285714286,False,517.48,150.64457670935215,2023,True,True,True,True,
finish_0059,The Peace War,2023-08-29,240.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,255.0,255.0,1,2023-08-29,2023-08-29,255.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,,85525.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,311.0,85525.0,fiction,0.0,0.0,0.0,335.3921568627451,335.3921568627451,335.3921568627451,0.0,255.0,0.0,0.0,85525.0,335.3921568627451,False,inf,0.0,2023,True,False,True,True,
finish_0060,The Sun Also Rises,2023-10-04,225.0,225.0,225.0,165.0,165.0,165.0,0.0,0.0,0.0,60.0,60.0,60.0,6,2023-09-24,2023-10-04,225.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,67925.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,247.0,67925.0,Literature,1176.0,28.0,0.0,301.8888888888889,301.8888888888889,301.8888888888889,0.0,225.0,0.0,0.0,67925.0,301.8888888888889,False,411.6666666666667,173.13213102686788,2023,True,False,True,True,
finish_0061,Harry Potter and the Methods of Rationality,2023-10-25,1575.0,1590.0,1590.0,1185.0,1200.0,1200.0,0.0,0.0,0.0,390.0,390.0,390.0,9,2023-10-22,2023-10-25,1590.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,,540925.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,1967.0,540925.0,fiction,1831.0,53.0,72.0,340.20440251572325,340.20440251572325,340.20440251572325,0.0,1590.0,0.0,0.0,540925.0,340.20440251572325,False,456.47679324894517,33.849424596755554,2023,True,False,True,True,
