title,avg_enjoyment,goodreads_rating,category,read_year,link
"The Midas Paradox: Financial Markets, Government Policy Shocks, and the Great Depression",3,3.84,General Reading,2018,https://www.goodreads.com/review/show/2714831124?utm_medium=api&utm_source=rss
The Buried Giant,3,3.57,General Reading,2018,https://www.goodreads.com/review/show/2714826004?utm_medium=api&utm_source=rss
Urne Burial,5,4.07,General Reading,2012,https://www.goodreads.com/review/show/370067965?utm_medium=api&utm_source=rss
Solid Fool's Gold: Detours on the Way to Conventional Wisdom,2,3.66,General Reading,2019,https://www.goodreads.com/review/show/2674135747?utm_medium=api&utm_source=rss
The Secret History of the Mongols (2 vols): A Mongolian Epic Chronicle of the Thirteenth Century,3,4.46,General Reading,2017,https://www.goodreads.com/review/show/2044522137?utm_medium=api&utm_source=rss
"Handbook of Intelligence: Evolutionary Theory, Historical Perspective, and Current Concepts",3,3.5,General Reading,2016,https://www.goodreads.com/review/show/1590697850?utm_medium=api&utm_source=rss
Moondust,4,4.06,General Reading,2017,https://www.goodreads.com/review/show/1989891390?utm_medium=api&utm_source=rss
Tombstone: The Untold Story of Mao's Great Famine,4,4.19,General Reading,2013,https://www.goodreads.com/review/show/461549503?utm_medium=api&utm_source=rss
空ろの箱と零のマリア 1,3,4.19,General Reading,2014,https://www.goodreads.com/review/show/1087814156?utm_medium=api&utm_source=rss
The Grand Strategy of the Roman Empire: From the First Century CE to the Third,4,4.15,General Reading,2017,https://www.goodreads.com/review/show/2113959410?utm_medium=api&utm_source=rss
Web Typography: A handbook for designing beautiful and effective responsive typography,4,4.67,General Reading,2019,https://www.goodreads.com/review/show/3014615361?utm_medium=api&utm_source=rss
"Fujiwara Teika's Hundred-Poem Sequence of the Shōji Era, 1200: A Complete Translation, with Introduction and Commentary",4,4.43,General Reading,2018,https://www.goodreads.com/review/show/2433173597?utm_medium=api&utm_source=rss
"The Dark Side of the Enlightenment: Wizards, Alchemists, and Spiritual Seekers in the Age of Reason",3,3.22,General Reading,2013,https://www.goodreads.com/review/show/690480926?utm_medium=api&utm_source=rss
New Legends,3,3.38,General Reading,2013,https://www.goodreads.com/review/show/759044326?utm_medium=api&utm_source=rss
Playboy Interview Ii,4,4.5,General Reading,2017,https://www.goodreads.com/review/show/2200238709?utm_medium=api&utm_source=rss
On the Road,3,3.63,General Reading,2004,https://www.goodreads.com/review/show/369880608?utm_medium=api&utm_source=rss
"Ready Player One (Ready Player One, #1)",4,4.21,General Reading,2015,https://www.goodreads.com/review/show/1269872117?utm_medium=api&utm_source=rss
Drift into Failure,3,4.01,General Reading,2015,https://www.goodreads.com/review/show/1268234991?utm_medium=api&utm_source=rss
The Mask of Sanity,4,3.99,General Reading,2012,https://www.goodreads.com/review/show/373031205?utm_medium=api&utm_source=rss
Turing's Cathedral: The Origins of the Digital Universe,4,3.57,General Reading,2012,https://www.goodreads.com/review/show/369882157?utm_medium=api&utm_source=rss
Ketamine: Dreams and Realities,4,4.19,General Reading,2014,https://www.goodreads.com/review/show/1117746460?utm_medium=api&utm_source=rss
Possible Worlds,3,4.06,General Reading,2017,https://www.goodreads.com/review/show/372241209?utm_medium=api&utm_source=rss
