title,avg_enjoyment,goodreads_rating,amazon_rating,category
The Origins of Political Order: From Prehuman Times to the French Revolution,5,4.17,,General Reading
The Bridge to Lucy Dunne,3,4.28,,General Reading
"Donald Michie: Machine intelligence, biology and more",3,3.0,,General Reading
Clear and Simple As the Truth: Writing Classic Prose,4,4.06,,General Reading
The Operations Evaluation Group: A History of Naval Operations Analysis,3,3.5,,General Reading
Bias in Mental Testing,5,4.44,,General Reading
The Metropolitan Man,4,4.22,,General Reading
The Pillow Book,3,4.02,,General Reading
Savage Continent: Europe in the Aftermath of World War II,4,4.18,,General Reading
Tokyo: A Certain Style,3,4.3,,General Reading
100 Years of Nobel Prizes,1,2.0,,General Reading
"Moby-Dick or, The Whale",3,3.54,,General Reading
The Autobiography of Benvenuto Cellini,3,3.99,,General Reading
Japan As Number One: Lessons for America,3,3.54,,General Reading
Double Entry: How the Merchants of Venice Created Modern Finance,3,3.44,,General Reading
The Genius Factory: The Curious History of the Nobel Prize Sperm Bank,4,3.54,,General Reading
"Soldiers Live (The Chronicles of the Black Company, #9)",2,4.25,,General Reading
"The Thousandfold Thought (The Prince of Nothing, #3)",2,3.94,,General Reading
"The Black Company (The Chronicles of the Black Company, #1)",4,3.94,,General Reading
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",4,4.16,,General Reading
Haikai Poet Yosa Buson And The Bashō Revival,4,4.43,,General Reading
A Shropshire Lad,4,4.01,,General Reading
Inside WikiLeaks: My Time with Julian Assange at the World's Most Dangerous Website,3,3.31,,General Reading
"Matter (Culture, #8)",3,4.09,,General Reading
Modern Japanese Diaries: The Japanese at Home and Abroad As Revealed through Their Diaries,3,3.85,,General Reading
Chronicle of a Death Foretold,4,3.98,,General Reading
Hanging Out with the Dream King,3,3.91,,General Reading
Cool Tools: A Catalog of Possibilities,4,4.39,,General Reading
"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, and Emerged Triumphant from Two Centuries of Controversy",4,3.69,,General Reading
The Riddle of the Labyrinth: The Quest to Crack an Ancient Code,3,3.98,,General Reading
The Simple Men,2,3.33,,General Reading
Chased by the Light: A 90-Day Journey,4,4.57,,General Reading
The City of Falling Angels,3,3.54,,General Reading
Pact,4,3.91,,General Reading
"Echopraxia (Firefall, #2)",4,3.8,,General Reading
"A Troublesome Inheritance: Genes, Race and Human History",3,3.66,,General Reading
A History of Life-Extensionism in the Twentieth Century,4,3.86,,General Reading
The Collapse of Complex Societies,5,4.12,,General Reading
The Remains of the Day,5,4.15,,General Reading
Average Is Over: Powering America Beyond the Age of the Great Stagnation,3,3.57,,General Reading
Intellectuals and Society,2,4.27,,General Reading
"Debt: The First 5,000 Years",4,4.21,,General Reading
Selected Non-fictions,5,4.57,,General Reading
Hive Mind: How Your Nation's IQ Matters So Much More Than Your Own,3,3.57,,General Reading
Berkshire Hathaway Letters to Shareholders,3,4.64,,General Reading
"The Cultural Revolution: A People's History, 1962-1976",4,4.01,,General Reading
The Book of Lord Shang - A Classic of the Chinese School of Law,5,3.73,,General Reading
Experimenter effects in behavioral research (The Century psychology series),1,3.8,,General Reading
Pioneers of Soviet Computing,3,3.0,,General Reading
Drugs 2.0: The Web Revolution That's Changing How the World Gets High.,4,4.16,,General Reading
Stories of Your Life and Others,5,4.28,,General Reading
"The Many Worlds of Hugh Everett III: Multiple Universes, Mutual Assured Destruction, and the Meltdown of a Nuclear Family",4,3.99,,General Reading
The Life of Samuel Johnson,3,3.76,,General Reading
"Don't Sleep, There Are Snakes: Life and Language in the Amazonian Jungle",4,3.95,,General Reading
The Corpse Exhibition and Other Stories of Iraq,4,3.91,,General Reading
The Recollections Of Eugene P. Wigner: As Told To Andrew Szanton,3,4.27,,General Reading
"The Unholy Consult (Aspect-Emperor, #4)",3,3.93,,General Reading
"1Q84 (1Q84, #1-3)",3,3.94,,General Reading
The Ph.D. Grind: A Ph.D. Student Memoir,4,4.23,,General Reading
History of the Conquest of Mexico/History of the Conquest of Peru,3,3.95,,General Reading
The Cambist and Lord Iron: A Fairy Tale of Economics,5,4.32,,General Reading
The Elements of Typographic Style,4,4.23,,General Reading
Envisioning Information,4,4.22,,General Reading
Collected Poems of Robert Frost,4,4.27,,General Reading
Steps Toward an Ecology of Mind,2,4.29,,General Reading
The Media Lab: Inventing the Future at M.I.T.,3,4.1,,General Reading
"Strategic Computing: DARPA and the Quest for Machine Intelligence, 1983-1993",3,3.27,,General Reading
"The Snarkout Boys and the Avocado of Death (Snarkout Boys, #1)",5,4.4,,General Reading
Life on the Infinite Farm,4,3.85,,General Reading
Kyogoku Tamekane: Poetry and Politics in Late Kamakura Japan,3,3.0,,General Reading
Waiting for the Wind,4,4.54,,General Reading
Be a Perfect Person in Just Three Days!,4,3.7,,General Reading
Hamlet,3,4.05,,General Reading
The Alehouse at the End of the World,2,3.21,,General Reading
A Strange and Sometimes Sadness,3,3.84,,General Reading
An Artist of the Floating World,4,3.79,,General Reading
Vectors: Aphorisms & Ten-Second Essays,3,4.05,,General Reading
The Essays of Arthur Schopenhauer; the Wisdom of Life,4,3.64,,General Reading
"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",5,4.04,,General Reading
Like Engend'ring Like: Heredity and Animal Breeding in Early Modern England,4,4.5,,General Reading
The Universal History of Numbers: From Prehistory to the Invention of the Computer,4,4.17,,General Reading
Some Remarks: Essays and Other Writing – A Brilliant Collection on Science and Technology from Newton to Star Wars,4,3.71,,General Reading
Memories of the Space Age,3,3.94,,General Reading
"The Vaccinators: Smallpox, Medical Knowledge, and the 'Opening' of Japan",4,4.0,,General Reading
"Plant Breeding Reviews: volume 24, Part 1 : Long-term, Selection : Maize",3,3.0,,General Reading
"Low-Aptitude Men in the Military: Who Profits, Who Pays?",4,2.75,,General Reading
"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",2,3.82,,General Reading
"Three Parts Dead (Craft Sequence, #1)",3,3.94,,General Reading
Eclipse Two,4,4.21,,General Reading
Narrow Roads of Gene Land: The Collected Papers of W. D. HamiltonVolume 1: Evolution of Social Behaviour,4,4.26,,General Reading
Genius Revisited: High IQ Children Grown Up (Creativity Research),3,3.88,,General Reading
Cat Sense: How the New Feline Science Can Make You a Better Friend to Your Pet,4,3.49,,General Reading
"The Miracle Morning for Writers: How to Build a Writing Ritual That Increases Your Impact and Your Income, Before 8AM",2,4.01,,General Reading
Zen Koans,4,4.0,,General Reading
The Cat in Ancient Egypt,3,3.92,,General Reading
The Freeze-Frame Revolution,3,3.88,,General Reading
Anti-Tech Revolution: Why and How,2,3.92,,General Reading
Recollections of Wittgenstein,4,4.0,,General Reading
Genetic Diversity & Human Equality,4,3.44,,General Reading
Creativity,3,3.22,,General Reading
Sunset in a Spider Web; Sijo Poetry of Ancient Korea,4,4.09,,General Reading
Selected Poems: Summer Knowledge,3,3.93,,General Reading
Twig,3,4.37,,General Reading
Unforgotten Dreams,5,4.39,,General Reading
Artificial Life: A Report from the Frontier Where Computers Meet Biology,4,4.0,,General Reading
The Origins of Theoretical Population Genetics,3,3.98,,General Reading
